round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1,10.450780799998029,3,0,0,3,1,0,0.0,0.111
1,0.1918,10.230470700000296,3,0,0,2,2,0,0.0,0.167
2,0.2469,10.186900799999421,3,0,0,3,4,1,0.111,0.247
3,0.2565,10.064271099996404,3,0,0,3,5,3,0.333,0.296
4,0.2998,10.046740800004045,3,0,0,3,3,1,0.333,0.296
5,0.3028,10.353574000000663,3,0,0,3,2,2,0.389,0.272
6,0.3335,10.291610699998273,3,0,0,2,7,2,0.476,0.328
7,0.3772,10.259526800000458,3,0,0,3,2,0,0.417,0.315
8,0.4012,10.319835599999351,3,0,0,3,3,1,0.407,0.313
9,0.4089,10.181390500001726,3,0,0,3,6,3,0.467,0.337
10,0.4154,10.36925070000143,3,0,0,3,4,2,0.485,0.34
11,0.4362,10.321776899996621,3,0,0,3,5,2,0.5,0.352
12,0.429,10.107337100002042,3,0,0,3,6,3,0.538,0.368
13,0.4485,10.273423899998306,3,0,1,2,2,1,0.548,0.352
14,0.445,9.932448500003375,3,0,1,3,2,2,0.556,0.34
15,0.458,9.717436300001282,3,0,1,3,2,1,0.542,0.332
16,0.4505,9.864648200004012,3,0,1,3,3,1,0.529,0.332
17,0.4728,9.949016699996719,3,0,1,3,1,1,0.519,0.319
18,0.4805,9.971654000000854,3,0,1,3,3,1,0.509,0.32
19,0.474,10.018269599997438,3,0,1,3,3,2,0.517,0.318
20,0.4554,10.527443500002846,3,0,1,2,5,2,0.54,0.325
21,0.4423,10.31611609999527,3,0,1,3,7,3,0.561,0.342
22,0.4963,10.217260799996438,3,0,1,3,5,3,0.58,0.351
23,0.486,9.916170700002112,3,0,1,3,3,1,0.569,0.35
24,0.5275,10.116860300004191,3,0,1,3,3,2,0.573,0.348
25,0.5059,10.053811199999473,3,0,1,3,4,3,0.59,0.351
26,0.5296,9.94714959999692,3,0,1,3,4,2,0.593,0.353
27,0.5199,9.879499299997406,3,0,1,3,5,3,0.607,0.357
28,0.5367,9.887887999997474,3,0,1,3,4,3,0.621,0.357
29,0.5125,9.99197219999769,3,0,1,3,4,3,0.633,0.357
30,0.5309,9.821361300004355,3,0,1,3,4,2,0.634,0.359
31,0.5555,9.899275300005684,3,0,1,3,6,3,0.646,0.366
32,0.5457,9.861538599994674,3,0,1,3,4,3,0.657,0.366
33,0.5491,9.925032799998007,3,0,1,3,6,3,0.667,0.374
34,0.5573,9.796394700002566,3,0,1,2,4,2,0.676,0.374
35,0.5594,10.00815860000148,3,0,1,3,5,3,0.685,0.377
36,0.5694,9.982947599994077,3,0,1,3,3,2,0.685,0.374
37,0.578,10.005188299997826,3,0,1,2,1,1,0.684,0.368
38,0.5689,10.311909999996715,3,0,1,2,3,2,0.692,0.365
39,0.5691,10.149747899995418,3,0,1,3,4,2,0.692,0.366
40,0.5908,10.087037199999031,3,0,1,2,3,2,0.699,0.365
41,0.5913,10.118041800000356,3,0,1,2,6,2,0.706,0.37
42,0.5912,10.102280900006008,3,0,1,3,3,2,0.705,0.368
43,0.5888,10.07170230000338,3,0,1,3,3,3,0.712,0.366
44,0.6037,10.09923439999693,3,0,1,2,4,2,0.719,0.367
45,0.5981,9.962643999999273,3,0,1,3,5,3,0.725,0.37
46,0.6028,9.890190600002825,3,0,1,2,5,2,0.73,0.372
47,0.6157,10.007179500003986,3,0,1,2,4,2,0.736,0.373
48,0.6164,10.045177899999544,3,0,1,3,3,3,0.741,0.372
49,0.6135,9.976829300001555,3,0,1,3,6,3,0.747,0.377
