round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1223,10.315860999995493,9,0,0,6,2,0,0.0,0.0
1,0.1904,10.284718099996098,9,0,0,7,5,4,0.0,0.0
2,0.2136,10.331349500003853,9,0,0,7,3,3,0.0,0.0
3,0.2408,10.369588100002147,9,0,0,5,3,1,0.0,0.0
4,0.2684,10.502964500003145,9,0,0,6,2,2,0.0,0.0
5,0.2864,10.37270179999905,9,0,0,6,3,3,0.0,0.0
6,0.323,10.422996400004195,9,0,0,7,4,3,0.016,0.0
7,0.2987,10.49133509999956,9,0,0,6,3,2,0.028,0.0
8,0.3233,10.410367500000575,9,0,0,7,3,2,0.049,0.005
9,0.3154,10.264534199995978,9,0,0,7,3,2,0.056,0.01
10,0.3315,10.271709100001317,9,0,0,7,5,3,0.051,0.013
11,0.3603,10.250683300000674,9,0,0,8,4,4,0.056,0.016
12,0.4003,10.331800899999507,9,0,0,7,5,5,0.06,0.018
13,0.3033,10.418879500000912,9,0,0,7,3,2,0.063,0.017
14,0.3576,10.39441490000172,9,0,0,8,6,5,0.067,0.019
15,0.3705,10.485165199999756,9,1,0,7,6,5,0.083,0.021
16,0.3674,10.152121800005261,9,1,0,6,1,1,0.081,0.02
17,0.4363,10.227830999996513,9,1,0,6,4,4,0.079,0.021
18,0.4026,9.95388549999916,9,1,0,7,4,4,0.077,0.02
19,0.4264,9.999757100005809,9,1,0,5,3,2,0.075,0.019
20,0.4189,10.018605100005516,9,1,0,7,1,1,0.073,0.018
21,0.4391,9.942176199998357,9,1,0,5,2,1,0.072,0.017
22,0.45,9.88598600000114,9,1,0,6,4,4,0.071,0.017
23,0.4416,9.951697599994077,9,1,0,7,4,3,0.074,0.016
24,0.4704,10.105105399998138,9,1,0,7,5,4,0.077,0.017
25,0.48,10.121167299999797,9,1,0,4,2,2,0.084,0.018
26,0.4511,10.004887899995083,9,1,0,6,1,0,0.083,0.019
27,0.4776,10.119214099999226,9,1,0,5,6,4,0.081,0.02
28,0.4678,10.024287399995956,9,1,0,6,2,2,0.08,0.021
29,0.5011,9.945031799994467,9,1,0,7,5,5,0.079,0.022
30,0.4854,9.931647899997188,9,1,0,6,4,3,0.081,0.023
31,0.4995,10.04340349999984,9,1,0,6,2,2,0.083,0.024
32,0.5354,10.070571599993855,9,1,0,5,3,3,0.082,0.023
33,0.533,9.906646299998101,9,1,0,5,3,3,0.081,0.022
34,0.51,9.977789500000654,9,1,0,6,3,3,0.08,0.022
35,0.5354,9.979780099994969,9,1,0,7,2,2,0.082,0.021
36,0.5259,10.13470480000251,9,1,0,6,3,2,0.084,0.021
37,0.4775,10.091825000003155,9,1,0,5,8,5,0.086,0.02
38,0.5125,10.22246940000332,9,1,0,7,6,6,0.087,0.022
39,0.5174,9.9800477999961,9,1,0,5,5,4,0.094,0.024
40,0.5244,10.082768000000215,9,1,0,6,5,4,0.107,0.027
41,0.5388,10.096884399994451,9,1,0,5,5,4,0.118,0.028
42,0.4943,10.203575199993793,9,1,0,5,6,5,0.132,0.03
43,0.5429,10.090319100003398,9,1,0,5,5,3,0.14,0.031
44,0.5397,10.096620299998904,9,1,0,5,3,2,0.14,0.033
45,0.5626,10.035450700001093,9,1,0,5,2,2,0.141,0.032
46,0.5566,10.07694679999986,9,1,0,6,6,6,0.141,0.031
47,0.5312,9.906004500000563,9,1,0,6,7,6,0.144,0.031
48,0.5544,9.88912220000202,9,1,0,6,4,4,0.148,0.03
49,0.5259,10.058896700000332,9,1,0,6,7,5,0.157,0.032
