round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1297,10.01499679999688,9,0,0,6,0,0,0.0,0.0
1,0.2041,9.93620799999917,9,0,0,7,0,0,0.0,0.0
2,0.2229,10.048547400001553,9,0,0,7,0,0,0.0,0.0
3,0.2274,9.999844600002689,9,0,0,5,0,0,0.0,0.0
4,0.2407,9.950124399998458,9,0,0,6,0,0,0.0,0.0
5,0.2653,9.93548539999756,9,0,0,6,0,0,0.0,0.0
6,0.2839,9.971875700000965,9,0,0,7,0,0,0.0,0.0
7,0.3156,9.942915400002676,9,0,0,6,0,0,0.0,0.0
8,0.3331,9.887200200006191,9,0,0,7,0,0,0.0,0.0
9,0.3297,9.912643700001354,9,0,0,7,0,0,0.0,0.0
10,0.3679,9.902628299998469,9,0,0,7,0,0,0.0,0.0
11,0.3435,9.776755499995488,9,0,0,8,0,0,0.0,0.0
12,0.3893,9.865108999998483,9,0,0,7,0,0,0.0,0.0
13,0.379,9.909389500004181,9,0,0,7,0,0,0.0,0.0
14,0.3861,10.042865800001891,9,0,0,8,0,0,0.0,0.0
15,0.4089,9.885242199998174,9,0,0,7,0,0,0.0,0.0
16,0.3972,9.867791599994234,9,0,0,7,0,0,0.0,0.0
17,0.4298,9.978598900001089,9,0,0,8,0,0,0.0,0.0
18,0.422,9.947701700002654,9,0,0,8,0,0,0.0,0.0
19,0.4306,9.87121869999828,9,0,0,6,0,0,0.0,0.0
20,0.4395,10.01524629999767,9,0,0,8,0,0,0.0,0.0
21,0.4434,9.962358299999323,9,0,0,6,0,0,0.0,0.0
22,0.4727,9.993096400001377,9,0,0,6,1,1,0.014,0.0
23,0.4424,9.834001499999431,9,0,0,7,0,0,0.014,0.0
24,0.4879,10.007841899998311,9,0,0,7,1,1,0.022,0.002
25,0.3912,9.86405950000335,9,0,0,7,1,0,0.021,0.007
26,0.4961,9.84772410000005,9,0,0,6,1,1,0.033,0.007
27,0.4235,9.847756499999377,9,0,0,6,0,0,0.032,0.007
28,0.4988,9.87442369999917,9,0,0,8,0,0,0.031,0.007
29,0.4692,9.938780500000576,9,0,0,9,0,0,0.03,0.006
30,0.4931,10.069679699998233,9,0,0,8,0,0,0.029,0.006
31,0.4769,9.906446799999685,9,0,0,6,0,0,0.028,0.006
32,0.499,10.015554300000076,9,0,0,6,0,0,0.027,0.006
33,0.4533,9.855856599999242,9,0,0,6,1,1,0.033,0.007
34,0.5182,10.024258199999167,9,0,0,8,0,0,0.032,0.007
35,0.4731,9.972211699998297,9,0,0,7,0,0,0.031,0.007
36,0.5103,10.082823999997345,9,0,0,7,0,0,0.03,0.006
37,0.4983,9.865855199997895,9,0,0,9,0,0,0.029,0.006
38,0.5051,10.01565500000288,9,0,0,6,0,0,0.028,0.006
39,0.535,9.77862129999994,9,0,0,7,1,1,0.036,0.006
40,0.3853,9.97511459999805,9,0,0,8,2,0,0.035,0.013
41,0.5466,9.959450900001684,9,0,0,7,1,1,0.04,0.014
42,0.4453,10.004943499996443,9,0,0,7,1,0,0.039,0.017
43,0.5562,9.88991420000093,9,0,0,7,2,2,0.048,0.018
44,0.4021,9.879798299996764,9,0,0,8,2,0,0.047,0.024
45,0.5716,9.907894500000111,9,0,0,7,2,2,0.056,0.026
46,0.3683,9.923549200000707,9,0,0,7,2,0,0.054,0.031
47,0.563,10.022066099998483,9,0,0,6,1,1,0.058,0.032
48,0.4412,10.081677000001946,9,0,0,6,1,1,0.059,0.033
49,0.5671,9.893709500000114,9,0,0,6,2,2,0.069,0.033
