round,acc,t_round_s,n_malicious
0,0.1519,10.648733100000754,6
1,0.2313,10.072602399999596,6
2,0.2676,10.09555139999975,6
3,0.2591,10.012751899999785,6
4,0.3018,10.16285009999956,6
5,0.3147,10.075531200000114,6
6,0.3242,10.180882900000142,6
7,0.3439,10.093292599998676,6
8,0.349,10.105012800000623,6
9,0.3637,10.043806300000142,6
10,0.3678,10.129867699999522,6
11,0.4011,10.142856799999208,6
12,0.3933,10.051169899999877,6
13,0.4176,10.310275499999989,6
14,0.4222,10.000812100000985,6
15,0.4316,10.087533999998413,6
16,0.4351,10.03439360000084,6
17,0.442,10.01322959999925,6
18,0.4544,10.127915999999459,6
19,0.4554,10.34361700000045,6
20,0.4614,10.2282694000005,6
21,0.4667,10.027462199999718,6
22,0.4651,10.04091840000001,6
23,0.4753,10.273719599999822,6
24,0.4828,10.095398600000408,6
25,0.4903,10.294733500000802,6
26,0.4869,10.856631099999504,6
27,0.4983,10.182721500001207,6
28,0.5024,10.53640439999981,6
29,0.5053,10.560774700001275,6
30,0.5098,10.050692300001174,6
31,0.5113,10.327520000000732,6
32,0.5198,10.231376499999897,6
33,0.5216,10.177169000000504,6
34,0.5297,10.07233019999876,6
35,0.5274,10.303006300000561,6
36,0.5292,10.1609284999995,6
37,0.5341,10.199820199999522,6
38,0.5401,10.478573500000493,6
39,0.5446,10.077390899999955,6
40,0.5448,10.167558899998767,6
41,0.5508,10.322860800000853,6
42,0.5553,9.993804800000362,6
43,0.5522,10.083599499999764,6
44,0.5597,10.40361060000032,6
45,0.564,9.940257099999144,6
46,0.5666,9.998536900000545,6
47,0.5657,10.169768900001145,6
48,0.5739,10.006106499999078,6
49,0.5752,9.84243779999997,6
