round,acc,t_round_s,n_malicious
0,0.1322,7.631495700014057,0
1,0.2701,7.968840100016678,0
2,0.2573,7.9519710000022314,0
3,0.3138,7.972529199993005,0
4,0.3283,7.926999799994519,0
5,0.3573,8.04254480000236,0
6,0.3586,7.962221099995077,0
7,0.3784,8.139690599986352,0
8,0.3937,7.982684399990831,0
9,0.4099,7.935337400005665,0
10,0.4194,8.059063099994091,0
11,0.4406,7.933425900002476,0
12,0.4272,8.041271099995356,0
13,0.4517,7.957621599984122,0
14,0.4562,8.026855300005991,0
15,0.4752,7.978891799983103,0
16,0.4767,7.987204399978509,0
17,0.4833,7.965828499989584,0
18,0.4885,7.965368499979377,0
19,0.4873,8.017935100011528,0
20,0.4985,8.063213299989002,0
21,0.5027,8.03983990001143,0
22,0.5078,7.908272300002864,0
23,0.5126,8.025016200001119,0
24,0.5205,8.039697099971818,0
25,0.525,7.972446999978274,0
26,0.5251,8.010002299997723,0
27,0.5329,8.064927100000205,0
28,0.5387,8.056615800014697,0
29,0.5371,7.968073900003219,0
30,0.5413,8.014063900016481,0
31,0.5475,8.031598299974576,0
32,0.5576,7.942099600011716,0
33,0.5558,8.103546099999221,0
34,0.5641,7.976829999999609,0
35,0.5599,7.983966400002828,0
36,0.5677,7.982119699998293,0
37,0.566,7.788434399990365,0
38,0.5772,7.116156300005969,0
39,0.5818,7.834519399999408,0
40,0.583,8.0008925999864,0
41,0.5807,7.95901339998818,0
42,0.586,7.972377400001278,0
43,0.5834,7.968580499989912,0
44,0.5922,7.170198199979495,0
45,0.5965,7.717533500021091,0
46,0.5999,8.02437880000798,0
47,0.5929,7.657554000004893,0
48,0.6071,6.989056799997343,0
49,0.6053,7.829888999985997,0
