round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest
0,0.1781,9.03792770000291,0,0,0
1,0.2389,8.979468899982749,0,0,1
2,0.262,9.00102130000596,0,0,1
3,0.3063,7.994643100013491,0,0,1
4,0.3161,8.749865599995246,0,0,1
5,0.3597,8.947489699989092,0,0,1
6,0.3851,8.978151999996044,0,0,1
7,0.4062,8.886507099989103,0,0,1
8,0.4174,8.865798299986636,0,0,1
9,0.4338,8.933038799994392,0,0,1
10,0.4361,8.905032400012715,0,0,1
11,0.4521,8.85807630000636,0,0,1
12,0.4515,8.918532999989111,0,0,1
13,0.4734,8.983698199997889,0,0,1
14,0.4651,8.95327230001567,0,0,1
15,0.4791,8.909236999985296,0,0,1
16,0.4872,8.857332800020231,0,0,1
17,0.4869,8.86444579999079,0,0,1
18,0.4957,8.90802679999615,0,0,1
19,0.5059,8.98288609998417,0,0,1
20,0.5082,8.881636199977947,0,0,1
21,0.5137,8.888252400007332,0,0,1
22,0.52,8.894852500001434,0,0,1
23,0.5224,8.903615599992918,0,0,1
24,0.5266,8.937255199998617,0,0,1
25,0.5333,8.933805499982554,0,0,1
26,0.5346,8.968320499989204,0,0,1
27,0.5431,8.940216799994232,0,0,1
28,0.5455,8.877811800019117,0,0,1
29,0.5544,8.911704799975269,0,0,1
30,0.5563,8.829795199999353,0,0,1
31,0.5632,8.908391500008292,0,0,1
32,0.5689,8.945764100004453,0,0,1
33,0.5727,8.79751929998747,0,0,2
34,0.5715,8.467282300000079,0,0,2
35,0.581,8.51671989998431,0,0,2
36,0.584,8.499345000018366,0,0,2
37,0.5812,8.6573381999915,0,0,2
38,0.5913,8.506594100006623,0,0,2
39,0.594,8.568037400022149,0,0,2
40,0.5989,8.436777700000675,0,0,3
41,0.5932,8.309599100000923,0,0,3
42,0.6011,8.231415400019614,0,0,3
43,0.6007,8.248120700009167,0,0,4
44,0.6054,7.515093499998329,0,0,4
45,0.6075,7.3272965000069235,0,0,4
46,0.6145,7.691456900007324,0,0,4
47,0.6128,6.931152200006181,0,0,4
48,0.6164,6.952510599978268,0,0,4
49,0.6178,7.300960699998541,0,0,4
