round,acc,t_round_s,n_malicious
0,0.1322,8.466929699992761,0
1,0.2207,7.9702870000037365,0
2,0.2819,6.6988548999943305,0
3,0.3114,7.545783000008669,0
4,0.3204,9.26817610001308,0
5,0.3431,9.139541700016707,0
6,0.3604,9.1748311999836,0
7,0.3444,9.19468610000331,0
8,0.356,9.283695799997076,0
9,0.3352,9.18464949997724,0
10,0.4048,9.195491099992068,0
11,0.3274,9.22153859998798,0
12,0.4172,9.194850100000622,0
13,0.3485,9.209486000007018,0
14,0.4106,9.196525899984408,0
15,0.338,9.195552899996983,0
16,0.3812,9.186140000005253,0
17,0.3765,9.222399000020232,0
18,0.4082,9.147708200005582,0
19,0.3592,9.183464800007641,0
20,0.4256,9.230753700016066,0
21,0.373,9.263715199980652,0
22,0.4583,9.244958600000245,0
23,0.3866,9.193315600015922,0
24,0.4585,9.151469200005522,0
25,0.4516,9.254407200001879,0
26,0.4646,9.223355699999956,0
27,0.4582,9.250607900001341,0
28,0.427,9.251787799992599,0
29,0.5214,9.22184399998514,0
30,0.5027,9.197635799995624,0
31,0.4709,9.172869100002572,0
32,0.5063,9.279848200007109,0
33,0.4772,9.19126099999994,0
34,0.4716,9.278262200008612,0
35,0.498,9.224856899993028,0
36,0.4093,9.197548399999505,0
37,0.4884,9.181255700008478,0
38,0.4977,9.16233540000394,0
39,0.5445,9.182966099993791,0
40,0.5103,9.201693400013028,0
41,0.5573,9.196672799997032,0
42,0.4976,8.254416600015247,0
43,0.558,8.466442600009032,0
44,0.5208,9.225040599994827,0
45,0.555,8.721607200015569,0
46,0.514,8.165723799989792,0
47,0.5401,8.73167600002489,0
48,0.4917,8.1685187999974,0
49,0.5591,9.228965399990557,0
