round,acc,t_round_s,n_malicious
0,0.2252,8.226012099999934,0
1,0.2671,7.924289699993096,0
2,0.305,7.1039612000167836,0
3,0.3127,7.240270000009332,0
4,0.3461,8.02538109998568,0
5,0.3656,7.503196999983629,0
6,0.3848,7.308563500002492,0
7,0.393,8.049627899978077,0
8,0.4087,8.037588899984257,0
9,0.4206,7.215887799975462,0
10,0.4249,7.59928470000159,0
11,0.4527,7.984612100000959,0
12,0.4499,7.983505800017156,0
13,0.467,7.986570800014306,0
14,0.4689,8.011209200019948,0
15,0.4863,8.053618000005372,0
16,0.4847,8.034709400002612,0
17,0.4972,7.980297900008736,0
18,0.501,8.013631200010423,0
19,0.5102,7.926011999981711,0
20,0.5097,7.999316000001272,0
21,0.5202,7.984984300012002,0
22,0.5197,7.956892099988181,0
23,0.5299,7.984078000008594,0
24,0.5334,8.069760400016094,0
25,0.538,8.001004899997497,0
26,0.5413,7.995212600013474,0
27,0.5479,7.999381200002972,0
28,0.5515,8.007596699986607,0
29,0.5533,7.955518400005531,0
30,0.5588,8.015993400011212,0
31,0.5601,8.064061799988849,0
32,0.5699,8.037279499985743,0
33,0.5712,8.10137289998238,0
34,0.5768,8.028744000010192,0
35,0.5777,8.04935210000258,0
36,0.5839,8.029490199987777,0
37,0.5816,8.044657399994321,0
38,0.589,8.100860599981388,0
39,0.5908,8.012192300026072,0
40,0.598,8.029136600001948,0
41,0.602,8.054480099992361,0
42,0.6036,8.079524100001436,0
43,0.6061,8.01893459999701,0
44,0.6082,8.065468899992993,0
45,0.614,8.059608000010485,0
46,0.6155,8.01723420000053,0
47,0.6158,8.069652599981055,0
48,0.6231,7.472393799980637,0
49,0.6239,7.1511575000185985,0
