round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1012,9.152957399986917,0,0,0,0,12,0,0.0,0.067
1,0.2319,8.542002500005765,0,0,0,0,15,0,0.0,0.033
2,0.2839,7.913890800002264,0,0,0,0,9,0,0.0,0.022
3,0.2771,8.612918500002706,0,0,0,0,17,0,0.0,0.025
4,0.3031,8.194243100006133,0,0,0,0,16,0,0.0,0.027
5,0.3321,9.038618899998255,0,0,0,0,21,0,0.0,0.039
6,0.3821,9.29988659999799,0,0,0,0,16,0,0.0,0.043
7,0.3936,9.127951700007543,0,0,0,0,18,0,0.0,0.046
8,0.4128,9.173448800022015,0,0,0,0,20,0,0.0,0.048
9,0.4215,9.112097100005485,0,0,0,0,19,0,0.0,0.05
10,0.4339,9.181026900012512,0,0,0,0,14,0,0.0,0.052
11,0.4422,9.067472599999746,0,0,0,0,20,0,0.0,0.053
12,0.4526,9.138415599998552,0,0,0,0,18,0,0.0,0.051
13,0.4671,9.112203600001521,0,0,0,0,18,0,0.0,0.055
14,0.4743,9.244775400002254,0,0,0,0,17,0,0.0,0.053
15,0.4753,9.151464800001122,0,0,0,0,20,0,0.0,0.056
16,0.492,9.157211800018558,0,0,0,0,9,0,0.0,0.053
17,0.4892,9.06459470000118,0,0,0,0,23,0,0.0,0.057
18,0.4993,9.165199800016126,0,0,0,0,20,0,0.0,0.06
19,0.5042,9.157301799976267,0,0,0,0,19,0,0.0,0.06
20,0.5159,9.133431099995505,0,0,0,0,20,0,0.0,0.06
21,0.516,9.102992899977835,0,0,0,0,16,0,0.0,0.059
22,0.5194,9.126156599988462,0,0,0,0,15,0,0.0,0.058
23,0.5306,9.126591500011273,0,0,0,0,20,0,0.0,0.062
24,0.5266,9.174249599978793,0,0,0,0,15,0,0.0,0.06
25,0.5414,9.278947999991942,0,0,0,0,21,0,0.0,0.063
26,0.5382,9.09445410000626,0,0,0,0,18,0,0.0,0.063
27,0.5497,9.178173499996774,0,0,0,0,11,0,0.0,0.061
28,0.5482,9.057667599990964,0,0,0,0,22,0,0.0,0.063
29,0.553,9.11176470000646,0,0,0,0,27,0,0.0,0.071
30,0.5599,9.210919599980116,0,0,0,0,22,0,0.0,0.072
31,0.5607,9.225042100006249,0,0,0,0,17,0,0.0,0.072
32,0.5611,9.145108099997742,0,0,0,0,22,0,0.0,0.077
33,0.5697,9.097792100015795,0,0,0,0,19,0,0.0,0.078
34,0.5709,8.777832499996293,0,0,0,0,14,0,0.0,0.077
35,0.5801,8.178843100002268,0,0,0,0,17,0,0.0,0.076
36,0.58,9.12022879999131,0,0,1,0,23,0,0.0,0.078
37,0.5829,8.818328399996972,0,0,1,0,17,0,0.0,0.078
38,0.5829,8.778393799992045,0,0,1,0,11,0,0.0,0.078
39,0.5942,8.670569399982924,0,0,1,0,15,0,0.0,0.078
40,0.5935,8.707455399999162,0,0,1,0,13,0,0.0,0.076
41,0.5951,8.649852600006852,0,0,1,0,14,0,0.0,0.077
42,0.6067,8.703814599983161,0,0,1,0,8,0,0.0,0.076
43,0.6026,8.644878699997207,0,0,1,0,14,0,0.0,0.076
44,0.6076,8.862224300013622,0,0,1,0,11,0,0.0,0.075
45,0.6118,8.609568899992155,0,0,1,0,12,0,0.0,0.073
46,0.6139,8.826109500019811,0,0,1,0,10,0,0.0,0.073
47,0.6225,7.82828069999232,0,0,1,0,11,0,0.0,0.072
48,0.6245,8.355765099986456,0,0,1,0,11,0,0.0,0.07
49,0.6259,8.49037689997931,0,0,1,0,12,0,0.0,0.071
