round,acc,t_round_s,n_malicious
0,0.1568,7.318725100019947,0
1,0.1759,6.745796300005168,0
2,0.272,7.797987199999625,0
3,0.2437,7.949352600000566,0
4,0.3128,8.00882640000782,0
5,0.3408,7.925734699994791,0
6,0.3485,7.9301471000071615,0
7,0.3864,8.021615000005113,0
8,0.3957,8.003714000020409,0
9,0.4173,8.036084699997446,0
10,0.4119,7.942584300006274,0
11,0.436,8.007290900015505,0
12,0.4395,7.977110800013179,0
13,0.4377,7.9343418999924324,0
14,0.4588,8.054452099982882,0
15,0.4705,7.92297270000563,0
16,0.4728,7.998359999997774,0
17,0.485,7.97202990000369,0
18,0.4889,7.985767700010911,0
19,0.4907,7.999328300007619,0
20,0.5038,7.927614999993239,0
21,0.5056,8.087403499986976,0
22,0.5094,7.908439999999246,0
23,0.5174,8.022113399987575,0
24,0.5195,7.958933399990201,0
25,0.5265,7.997167999972589,0
26,0.5222,7.993206400016788,0
27,0.5236,7.963333399995463,0
28,0.5341,8.010990599985234,0
29,0.5328,7.929396299994551,0
30,0.5434,7.990819600003306,0
31,0.5475,7.929816799995024,0
32,0.5512,7.995515899994643,0
33,0.5495,7.984819699981017,0
34,0.5547,7.963031399995089,0
35,0.5592,8.128142300003674,0
36,0.5657,7.992678899987368,0
37,0.5677,8.075018599978648,0
38,0.5704,7.926042899984168,0
39,0.5703,7.916737099993043,0
40,0.5817,7.9962618999998085,0
41,0.577,8.026133000006666,0
42,0.5828,8.041320499993162,0
43,0.5868,7.999249199987389,0
44,0.5847,8.034622300008778,0
45,0.5887,7.899392899998929,0
46,0.5944,7.355189399997471,0
47,0.5992,6.474207999999635,0
48,0.5983,6.7232862999953795,0
49,0.6036,6.918202700006077,0
