round,acc,t_round_s,n_malicious
0,0.214,6.761661199998343,0
1,0.2663,7.8486520999867935,0
2,0.3063,7.926768300007097,0
3,0.316,7.972068299975945,0
4,0.3475,7.936430300003849,0
5,0.3677,7.970857300009811,0
6,0.3865,7.89516710001044,0
7,0.395,8.018620600021677,0
8,0.4128,7.949651300004916,0
9,0.421,7.961370699980762,0
10,0.4273,7.961954400001559,0
11,0.4556,7.910413600009633,0
12,0.4544,7.973334799986333,0
13,0.4699,7.941270299983444,0
14,0.4718,8.011382999975467,0
15,0.4896,7.966309500014177,0
16,0.4875,7.957652399985818,0
17,0.4984,7.99509979999857,0
18,0.5025,7.958090200001607,0
19,0.511,8.00936970001203,0
20,0.5112,8.01825949997874,0
21,0.5223,7.9759309999935795,0
22,0.5189,8.003845200000796,0
23,0.5311,7.953435600007651,0
24,0.5335,8.04121260001557,0
25,0.5403,7.941258500010008,0
26,0.542,7.966652900009649,0
27,0.5495,8.048838699993212,0
28,0.5549,7.97908789999201,0
29,0.5566,7.984020000003511,0
30,0.5586,7.898465599981137,0
31,0.5622,8.092907099984586,0
32,0.5725,7.94444290001411,0
33,0.5734,8.006627700000536,0
34,0.581,7.981002299988177,0
35,0.5812,7.947937999997521,0
36,0.5838,7.932404700026382,0
37,0.5835,7.957170600013342,0
38,0.5926,8.013684700010344,0
39,0.5922,8.006686000007903,0
40,0.5999,7.911828100011917,0
41,0.6046,7.950150799995754,0
42,0.6057,7.936030800017761,0
43,0.6075,8.02163990002009,0
44,0.6115,7.9085278999991715,0
45,0.6155,8.025377000012668,0
46,0.6186,7.997415899997577,0
47,0.6189,7.935801799991168,0
48,0.6275,8.032761400012532,0
49,0.628,7.927013799984707,0
