round,acc,t_round_s,n_malicious
0,0.1176,7.712479400011944,0
1,0.2258,7.732749199989485,0
2,0.2641,7.757260699989274,0
3,0.2859,7.776564600004349,0
4,0.3027,7.729240199987544,0
5,0.3314,7.833258200000273,0
6,0.3534,7.817946200026199,0
7,0.3851,7.795223099994473,0
8,0.3957,7.753992999991169,0
9,0.419,6.280590099981055,0
10,0.4277,5.291924499993911,0
11,0.4415,6.733900099992752,0
12,0.4468,8.104821199987782,0
13,0.4562,7.932341399980942,0
14,0.4642,8.05493280000519,0
15,0.4744,7.983412900008261,0
16,0.4763,8.052919499983545,0
17,0.4822,7.958529199997429,0
18,0.4895,7.910871100000804,0
19,0.4978,8.027370900003007,0
20,0.5003,7.998303600004874,0
21,0.509,8.032884399988689,0
22,0.5118,7.994842300016899,0
23,0.5159,7.932319900020957,0
24,0.5234,7.976846499979729,0
25,0.5241,8.006506900012027,0
26,0.5285,8.087973399990005,0
27,0.532,8.023458299983758,0
28,0.5389,8.099841199989896,0
29,0.5415,7.956287799985148,0
30,0.5459,8.028512100019725,0
31,0.5467,8.010837500012713,0
32,0.5595,7.946292499982519,0
33,0.5612,8.144880999985617,0
34,0.5626,7.937017299991567,0
35,0.5704,7.992420800001128,0
36,0.5752,7.930780299997423,0
37,0.579,7.969673100014916,0
38,0.5801,8.041808400012087,0
39,0.5839,8.023734199989121,0
40,0.5911,8.051372999994783,0
41,0.5946,7.989786499994807,0
42,0.5922,8.032156400004169,0
43,0.5979,8.008355799975106,0
44,0.5982,7.950016999995569,0
45,0.6041,8.118788199994015,0
46,0.6066,7.985612500022398,0
47,0.6103,8.062796600017464,0
48,0.6111,7.960028300003614,0
49,0.6136,7.781782299978659,0
