round,acc,t_round_s,n_malicious
0,0.104,10.258061300002737,0
1,0.2187,9.707361799984938,0
2,0.2795,9.921416099998169,0
3,0.2926,9.764253500004997,0
4,0.3381,9.754554200015264,0
5,0.368,9.881756899994798,0
6,0.376,9.79866729999776,0
7,0.4011,9.807295600010548,0
8,0.4176,9.940574700012803,0
9,0.4293,9.743085699999938,0
10,0.4369,9.876126599992858,0
11,0.4549,9.743247000005795,0
12,0.4595,9.690186499996344,0
13,0.4628,9.87661969999317,0
14,0.4696,9.707942599983653,0
15,0.4818,9.869215399987297,0
16,0.4817,9.711592100007692,0
17,0.4915,9.798790900007589,0
18,0.4977,9.79026690000319,0
19,0.5005,9.726305699994555,0
20,0.5077,9.761550900002476,0
21,0.5107,8.107809199980693,0
22,0.5175,7.989161699981196,0
23,0.5211,7.991446200001519,0
24,0.5282,7.929341699986253,0
25,0.5336,7.951826399978017,0
26,0.5416,7.997218200005591,0
27,0.5458,7.9442295000189915,0
28,0.5479,8.033898699999554,0
29,0.5549,8.000711400003638,0
30,0.5605,7.884066900005564,0
31,0.5649,7.9482674000028055,0
32,0.5685,7.991951300005894,0
33,0.5716,7.9568750000034925,0
34,0.5782,7.974139199999627,0
35,0.5799,8.017680700024357,0
36,0.5883,8.0891113000107,0
37,0.5884,7.903565700020408,0
38,0.5912,7.346624400001019,0
39,0.5925,9.38869110000087,0
40,0.6001,9.390865699999267,0
41,0.5975,9.114133499999298,0
42,0.6034,9.644235600018874,0
43,0.6089,8.61754980002297,0
44,0.6121,9.486355000000913,0
45,0.6133,9.543643200013321,0
46,0.6179,9.632882999983849,0
47,0.6177,9.554317400004948,0
48,0.6207,9.499485899985302,0
49,0.6247,9.236725299997488,0
