round,acc,t_round_s,n_malicious
0,0.1017,23.948800900005153,3
1,0.1886,24.367740000001504,3
2,0.2131,23.98120299999573,3
3,0.2754,24.01089890000003,3
4,0.2892,25.178885000001173,3
5,0.3163,27.85157959999924,3
6,0.3523,26.1196226999964,3
7,0.368,25.293810199997097,3
8,0.3902,26.779839700000593,3
9,0.4079,26.487764400000742,3
10,0.4193,25.50321989999793,3
11,0.4298,25.63036280000233,3
12,0.4428,26.01512139999977,3
13,0.4509,24.888003899999603,3
14,0.4539,25.620734700001776,3
15,0.4675,30.849796499998774,3
16,0.4692,31.633082000000286,3
17,0.4841,26.402968299997156,3
18,0.485,25.444782300000952,3
19,0.4932,26.699182099997415,3
20,0.492,25.443381400000362,3
21,0.5001,25.255751099997724,3
22,0.5066,25.37079210000229,3
23,0.508,25.77862820000155,3
24,0.5123,28.175113900004362,3
25,0.523,25.661658500001067,3
26,0.5212,26.133553899999242,3
27,0.5266,25.607433400000446,3
28,0.5382,25.70713689999684,3
29,0.5355,25.816543900000397,3
