round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest
0,0.1,29.242169200000717,6,0,0
1,0.118,27.959628100001282,6,1,0
2,0.1986,27.247906499998862,6,3,1
3,0.2426,24.62528939999902,6,5,1
4,0.2586,23.10153580000042,6,6,2
5,0.2846,21.82919799999945,6,6,2
6,0.3121,22.319612100000086,6,6,2
7,0.3485,21.900990699999966,6,6,3
8,0.3516,21.46858609999981,6,6,3
9,0.3829,21.368978399999833,6,6,3
10,0.4063,21.406339900000603,6,6,3
11,0.4209,21.134389299999384,6,6,3
12,0.4197,21.53024480000022,6,6,3
13,0.4365,21.00817559999996,6,6,3
14,0.4343,21.446268899999268,6,6,3
15,0.4528,21.15418899999895,6,6,3
16,0.4601,21.017204000001584,6,6,3
17,0.4546,21.420629299998836,6,6,3
18,0.4778,21.118502299999818,6,6,3
19,0.4744,21.180736000000252,6,6,3
20,0.4963,21.64182770000116,6,6,3
21,0.4929,21.20165730000008,6,6,3
22,0.4952,21.558942899999238,6,6,3
23,0.5069,21.594129999999495,6,6,3
24,0.5101,21.229268900000534,6,6,3
25,0.514,21.388454899999488,6,6,3
26,0.5183,21.24094519999926,6,6,3
27,0.5274,21.064055400000143,6,6,4
28,0.5386,20.28492499999993,6,6,4
29,0.537,20.06607410000106,6,6,4
