round,acc,t_round_s,n_malicious
0,0.1,8.373349600005895,6
1,0.0999,8.366735200004769,6
2,0.1009,8.385032699996373,6
3,0.1081,8.291015199996764,6
4,0.1124,8.54299020000326,6
5,0.1153,8.479820400003518,6
6,0.1165,8.380910899999435,6
7,0.108,8.331448199998704,6
8,0.1134,8.459930499993789,6
9,0.1011,8.337595999997575,6
10,0.1042,8.52102400000149,6
11,0.1023,8.344398099994578,6
12,0.1033,8.401179000000411,6
13,0.1051,8.415508099998988,6
14,0.1173,8.71107309999934,6
15,0.1223,8.560577199998079,6
16,0.1286,8.331548599999223,6
17,0.1307,8.3469855000003,6
18,0.1376,8.310839199999464,6
19,0.1489,8.25133310000092,6
20,0.1546,8.664869299995189,6
21,0.1553,8.500478900001326,6
22,0.1623,8.561888800002635,6
23,0.173,8.340535199997248,6
24,0.1887,8.288692300004186,6
25,0.1949,8.311209400002554,6
26,0.2023,8.459304399999382,6
27,0.2055,8.792328499999712,6
28,0.2099,8.446473800002423,6
29,0.2129,8.4413069000002,6
30,0.2118,8.21622500000376,6
31,0.2153,8.36976770000183,6
32,0.2148,8.300420899999153,6
33,0.215,8.426169200000004,6
34,0.2169,8.324893799996062,6
35,0.2216,8.674357099996996,6
36,0.2256,8.284800000001269,6
37,0.2275,8.47164220000559,6
38,0.2279,8.316884400002891,6
39,0.2333,8.281850200000918,6
40,0.2384,8.254455499998585,6
41,0.2419,8.25836879999406,6
42,0.2483,8.394042699997954,6
43,0.2505,8.327487999995355,6
44,0.2565,8.573095699997793,6
45,0.2628,8.35140909999609,6
46,0.2648,8.291553299997759,6
47,0.2707,8.331215899997915,6
48,0.2728,8.289368599995214,6
49,0.2894,8.376399900000251,6
