round,acc,t_round_s,n_malicious
0,0.1492,25.87053499999456,9
1,0.1607,31.11428049999813,9
2,0.1661,29.236611000000266,9
3,0.1702,26.851756099997147,9
4,0.1,29.20856260000437,9
5,0.1,30.705946199996106,9
6,0.1,31.682432399997197,9
7,0.1,29.48574440000084,9
8,0.1,28.701519299997017,9
9,0.1,27.60013629999594,9
10,0.1,28.19848649999767,9
11,0.1,29.659954999995534,9
12,0.1,29.089216199994553,9
13,0.1,28.896745799997007,9
14,0.1,28.695332600000256,9
15,0.1,29.18344690000231,9
16,0.1,28.389900599999237,9
17,0.1,29.835747099998116,9
18,0.1,29.28069510000205,9
19,0.1,29.3999799000012,9
20,0.1,28.913902499996766,9
21,0.1,27.58256920000713,9
22,0.1,27.532097000002977,9
23,0.1,27.615157400003227,9
24,0.1,28.072994199996174,9
25,0.1,27.888150999999198,9
26,0.1,29.862523099996906,9
27,0.1,27.96853220000048,9
28,0.1,27.175802699995984,9
29,0.1,28.046496700000716,9
