round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1,29.50073639999937,6,0,0,5,1,0,0.0,0.0
1,0.1,30.12810239999999,6,0,0,6,1,1,0.0,0.0
2,0.1023,29.931554999999207,6,0,0,5,5,4,0.0,0.0
3,0.1291,29.645508800000243,6,0,0,5,4,3,0.0,0.0
4,0.1551,29.71711300000061,6,0,0,4,2,2,0.033,0.0
5,0.1565,29.61367280000013,6,0,0,5,4,4,0.083,0.0
6,0.1934,29.697198699999717,6,0,0,5,6,5,0.143,0.0
7,0.2259,29.748606200000722,6,0,0,4,7,4,0.208,0.0
8,0.2253,29.492203400001017,6,0,0,5,5,5,0.278,0.005
9,0.222,29.70584559999952,6,0,0,6,6,6,0.35,0.021
10,0.3026,29.49423990000105,6,0,0,4,6,4,0.409,0.03
11,0.343,29.537309199999072,6,0,0,5,6,5,0.458,0.035
12,0.3403,29.765031799999633,6,0,0,5,7,5,0.5,0.038
13,0.3587,29.62689490000048,6,0,0,5,8,5,0.536,0.045
14,0.3672,29.41905560000123,6,6,1,4,5,4,0.567,0.05
15,0.3925,22.79111809999995,6,6,1,0,3,0,0.567,0.053
16,0.4163,22.8795427999994,6,6,1,0,1,0,0.567,0.051
17,0.418,22.85342760000094,6,6,1,0,4,0,0.567,0.052
18,0.4347,23.395399999999427,6,6,1,0,2,0,0.567,0.052
19,0.4586,22.712405299998863,6,6,1,0,2,0,0.567,0.053
20,0.4543,22.822521300000517,6,6,1,0,4,0,0.567,0.055
21,0.4726,22.94239750000088,6,6,1,0,3,0,0.567,0.057
22,0.4509,23.071104399999967,6,6,1,0,1,0,0.567,0.056
23,0.4646,22.793610499998977,6,6,1,0,3,0,0.567,0.056
24,0.4739,22.938099400000283,6,6,1,0,3,0,0.567,0.054
25,0.489,22.883390300001338,6,6,1,0,1,0,0.567,0.053
26,0.4803,23.29590300000018,6,6,1,0,0,0,0.567,0.052
27,0.4739,23.563800899999478,6,6,1,0,2,0,0.567,0.051
28,0.4995,22.85383770000044,6,6,1,0,2,0,0.567,0.05
29,0.4768,22.618670400001065,6,6,1,0,2,0,0.567,0.049
30,0.5113,22.933877199999188,6,6,1,0,2,0,0.567,0.049
31,0.5134,23.1314069,6,6,1,0,2,0,0.567,0.049
32,0.5368,22.99310500000138,6,6,1,0,1,0,0.567,0.048
33,0.5051,22.67830850000064,6,6,1,0,2,0,0.567,0.048
34,0.5222,22.661458999999013,6,6,1,0,2,0,0.567,0.047
35,0.5292,22.9077539000009,6,6,1,0,2,0,0.567,0.046
36,0.5503,22.74731299999985,6,6,1,0,1,0,0.567,0.045
37,0.553,22.824695799999972,6,6,1,0,2,0,0.567,0.045
38,0.5578,22.749529700000494,6,6,1,0,1,0,0.567,0.044
39,0.5563,22.581321800000296,6,6,1,0,1,0,0.567,0.043
40,0.5595,22.843358800000715,6,6,1,0,2,0,0.567,0.043
41,0.5676,22.957896300000357,6,6,1,0,2,0,0.567,0.042
42,0.5712,22.77920880000056,6,6,1,0,2,0,0.567,0.043
43,0.571,22.877750400000878,6,6,1,0,2,0,0.567,0.042
44,0.5825,22.891764400001193,6,6,1,0,2,0,0.567,0.043
45,0.5698,22.81823330000043,6,6,1,0,3,0,0.567,0.043
46,0.5892,22.781280299999707,6,6,1,0,2,0,0.567,0.044
47,0.5938,22.403849600001195,6,6,1,0,1,0,0.567,0.045
48,0.6047,22.457605900001,6,6,1,0,1,0,0.567,0.044
49,0.5938,22.667401800001244,6,6,1,0,2,0,0.567,0.044
