round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1638,8.98385010000493,3,0,0,3,1,1,0.0,0.0
1,0.2073,8.569160300001386,3,0,0,2,1,1,0.0,0.0
2,0.1999,8.286476400004176,3,0,0,3,2,2,0.0,0.0
3,0.249,8.512572100000398,3,0,0,3,3,3,0.0,0.0
4,0.2841,8.399027600004047,3,0,0,3,1,1,0.0,0.0
5,0.3271,8.29179280000244,3,0,0,3,3,3,0.056,0.0
6,0.3163,8.449890199997753,3,0,0,2,2,2,0.095,0.0
7,0.2919,8.268386199997622,3,0,0,3,1,1,0.083,0.0
8,0.3742,8.40364750000299,3,0,0,3,3,3,0.111,0.0
9,0.3694,8.601383400004124,3,0,0,3,0,0,0.1,0.0
10,0.4043,8.485683099999733,3,0,0,3,3,3,0.091,0.0
11,0.322,8.25780990000203,3,0,0,3,1,1,0.083,0.0
12,0.4087,8.390333800001827,3,0,0,3,3,3,0.077,0.0
13,0.3718,9.146924100001343,3,0,0,2,1,1,0.095,0.0
14,0.4263,8.976438200006669,3,0,0,2,2,2,0.111,0.0
15,0.3836,8.693449999998847,3,0,0,3,1,1,0.125,0.0
16,0.4512,8.696404899994377,3,0,0,2,2,2,0.137,0.0
17,0.3903,8.933323699995526,3,0,0,3,2,0,0.13,0.0
18,0.433,8.321170299997902,3,0,0,3,3,3,0.123,0.0
19,0.4001,8.347668399997929,3,0,0,3,4,0,0.117,0.0
20,0.4587,8.35643970000092,3,0,0,2,2,2,0.111,0.0
21,0.4046,8.338107299998228,3,0,0,3,3,1,0.106,0.0
22,0.4583,8.305926099994394,3,0,0,2,2,2,0.101,0.0
23,0.4793,8.318518100000801,3,0,0,3,3,3,0.111,0.0
24,0.3924,8.566054399998393,3,0,0,3,3,0,0.107,0.001
25,0.462,8.279944900001283,3,0,0,3,3,3,0.103,0.003
26,0.4578,8.40246680000564,3,0,0,3,2,1,0.099,0.003
27,0.4859,8.455916400002025,3,0,0,2,2,2,0.095,0.003
28,0.4619,8.40751189999719,3,0,0,2,0,0,0.092,0.003
29,0.4976,8.459544199999073,3,0,0,3,3,3,0.089,0.002
30,0.4362,8.313939500003471,3,0,0,3,3,0,0.086,0.002
31,0.4997,8.435044199999538,3,0,0,3,3,3,0.083,0.002
32,0.4463,8.345011200006411,3,0,0,3,2,2,0.081,0.002
33,0.4966,8.275888600001053,3,0,0,2,2,2,0.078,0.002
34,0.4809,8.395894199995382,3,0,0,3,2,1,0.086,0.002
35,0.5086,8.4546096999984,3,0,0,3,3,3,0.093,0.002
36,0.4833,8.365475600003265,3,0,0,3,1,0,0.09,0.002
37,0.5206,8.559526699995331,3,0,0,2,2,2,0.088,0.002
38,0.4655,8.358935600001132,3,0,0,3,3,0,0.085,0.002
39,0.5114,8.37731039999926,3,0,0,2,2,2,0.083,0.002
40,0.5319,8.363421599999128,3,0,0,3,3,3,0.081,0.002
41,0.4877,8.313568300000043,3,0,0,3,3,0,0.079,0.002
42,0.5294,8.37425870000152,3,0,0,2,2,2,0.078,0.002
43,0.4977,8.47027469999739,3,0,0,3,2,0,0.076,0.002
44,0.5328,8.417858900000283,3,0,0,3,3,3,0.074,0.002
45,0.5073,8.347036999999546,3,0,0,3,1,0,0.072,0.002
46,0.5329,8.506078399994294,3,0,0,2,2,2,0.071,0.002
47,0.4319,8.392341700004181,3,0,0,3,4,0,0.069,0.002
48,0.5117,8.434601400003885,3,0,0,2,2,2,0.068,0.002
49,0.5477,8.32908039999893,3,0,0,3,3,3,0.067,0.001
