round,acc,t_round_s,n_malicious
0,0.1459,17.071399799999995,3
1,0.2374,16.5674937,3
2,0.2763,17.469302699999957,3
3,0.2878,18.185785399999986,3
4,0.3214,19.200669300000072,3
5,0.3523,20.751720999999975,3
6,0.3595,21.46965949999992,3
7,0.3862,21.939067199999954,3
8,0.3892,23.284759000000008,3
9,0.4108,23.84178660000009,3
10,0.4152,24.433478000000036,3
11,0.432,25.64052890000005,3
12,0.4308,25.468319299999962,3
13,0.4533,25.436284999999998,3
14,0.4549,26.162745599999994,3
15,0.4723,26.232871299999942,3
16,0.4698,26.069595800000116,3
17,0.4818,26.43386489999989,3
18,0.4825,26.07204189999993,3
19,0.4929,26.264723300000014,3
20,0.4946,25.968343600000026,3
21,0.5063,26.025786800000105,3
22,0.5133,26.186492999999928,3
23,0.5168,25.98210929999982,3
24,0.5247,26.118754200000012,3
25,0.5224,25.95552590000011,3
26,0.5246,26.050681899999972,3
27,0.5307,25.95418359999985,3
28,0.5378,26.111630099999957,3
29,0.5383,25.90967219999993,3
30,0.5437,26.137017300000025,3
31,0.547,26.016840700000103,3
32,0.5541,25.99455399999988,3
33,0.5576,26.105166199999985,3
34,0.5619,25.971163400000023,3
35,0.562,26.124033699999927,3
36,0.5636,25.946582100000114,3
37,0.5655,25.91769770000019,3
38,0.5747,26.085085599999957,3
39,0.5755,26.04157810000015,3
40,0.5818,25.997856899999988,3
41,0.5875,26.049485900000036,3
42,0.5914,26.09240939999995,3
43,0.5868,26.01877280000008,3
44,0.5976,26.20763820000002,3
45,0.597,25.886281199999985,3
46,0.5989,26.21759370000018,3
47,0.5953,26.068764900000133,3
48,0.6075,26.17146310000021,3
49,0.6089,25.985867999999982,3
