round,acc,t_round_s,n_malicious
0,0.1139,8.953059899999062,3
1,0.1725,8.384856199998467,3
2,0.2165,8.472965400003886,3
3,0.2098,8.304042100004153,3
4,0.1769,8.384422600000107,3
5,0.1089,8.260013699997216,3
6,0.1379,8.462562799999432,3
7,0.1,8.27414200000203,3
8,0.1,8.196515099996759,3
9,0.1,8.359231300004467,3
10,0.1,8.354194399995322,3
11,0.1,8.3034559000007,3
12,0.1,8.39646950000315,3
13,0.1,8.482427599999937,3
14,0.1,8.398117699995055,3
15,0.1,8.321495199998026,3
16,0.1,8.350141800001438,3
17,0.1,8.473298299999442,3
18,0.1,8.445179700000153,3
19,0.1,8.277667900001688,3
20,0.1,8.506400800004485,3
21,0.1,8.417227800004184,3
22,0.1,8.34992140000395,3
23,0.1,8.305618700003834,3
24,0.1,8.263791099998343,3
25,0.1,8.34637610000209,3
26,0.1,8.476518200004648,3
27,0.1,9.455880100002105,3
28,0.1,9.424539899999218,3
29,0.1,8.425494200004323,3
30,0.1,8.434143999998923,3
31,0.1,8.257324399994104,3
32,0.1,8.330182500001683,3
33,0.1,8.506544199997734,3
34,0.1,8.324207199999364,3
35,0.1,8.526948900005664,3
36,0.1,8.253781500003242,3
37,0.1,8.327335299996776,3
38,0.1,8.339789600002405,3
39,0.1,8.37729489999765,3
40,0.1,8.307468800005154,3
41,0.1,8.435605200000282,3
42,0.1,8.47068169999693,3
43,0.1,8.381456199997046,3
44,0.1,8.330206099999486,3
45,0.1,8.364829699996335,3
46,0.1,8.32259730000078,3
47,0.1,8.250972300003923,3
48,0.1,8.373836299993854,3
49,0.1,8.514631899997767,3
