round,acc,t_round_s,n_malicious
0,0.1227,8.673947000002954,6
1,0.1128,8.278924799989909,6
2,0.1349,7.667640500003472,6
3,0.1848,7.227737600012915,6
4,0.2186,8.302174000011291,6
5,0.2439,8.294440400000894,6
6,0.2692,8.374062100017909,6
7,0.2785,7.891056699998444,6
8,0.3011,7.237595200014766,6
9,0.3172,8.144135800015647,6
10,0.3346,8.218894199992064,6
11,0.3429,7.924473599996418,6
12,0.3632,7.276560900005279,6
13,0.3793,8.112633100012317,6
14,0.3852,8.256854699982796,6
15,0.3947,8.216316900012316,6
16,0.4067,8.277021999994759,6
17,0.4174,8.26395669998601,6
18,0.4238,8.349996300006751,6
19,0.4337,8.313182400015648,6
20,0.4387,8.27526759999455,6
21,0.4419,8.285953099984908,6
22,0.4468,7.46547450000071,6
23,0.4605,7.050474000017857,6
24,0.465,8.096672999992734,6
25,0.4656,8.75752869999269,6
26,0.4651,8.849433299998054,6
27,0.474,8.8798475000076,6
28,0.4756,8.730968299991218,6
29,0.4877,8.803333599993493,6
30,0.4847,8.800555099995108,6
31,0.4942,8.769054899981711,6
32,0.4961,8.781298199988669,6
33,0.5001,8.754114899988053,6
34,0.5028,8.780827199982014,6
35,0.5044,8.793684399977792,6
36,0.5077,8.692257199989399,6
37,0.51,8.79832920001354,6
38,0.5127,8.728551000007428,6
39,0.5151,8.80124650002108,6
40,0.52,8.792201299977023,6
41,0.5255,8.641345799987903,6
42,0.5284,8.795232299977215,6
43,0.5317,8.635777500021504,6
44,0.5329,8.787270399974659,6
45,0.5413,8.328202300006524,6
46,0.5423,7.676829599979101,6
47,0.5456,8.844327200000407,6
48,0.5458,8.712565099995118,6
49,0.5521,8.818505999981426,6
