round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.2153,6,6,0
1,0.2733,6,6,0
2,0.2864,6,6,0
3,0.3083,6,6,0
4,0.319,6,6,0
5,0.3541,6,6,0
6,0.3654,6,6,0
7,0.3864,6,6,0
8,0.3953,6,6,0
9,0.4072,6,6,0
10,0.4231,6,6,0
11,0.4342,6,6,0
12,0.4445,6,6,0
13,0.4531,6,6,0
14,0.4574,6,6,0
15,0.4788,6,6,0
16,0.4697,6,6,0
17,0.4898,6,6,0
18,0.4898,6,6,0
19,0.4937,6,6,0
20,0.5023,6,6,0
21,0.5055,6,6,0
22,0.514,6,6,0
23,0.5186,6,6,0
24,0.5243,6,6,0
25,0.5248,6,6,0
26,0.5272,6,6,0
27,0.5322,6,6,0
28,0.5443,6,6,0
29,0.5439,6,6,0
30,0.5515,6,6,0
31,0.5531,6,6,0
32,0.5561,6,6,0
33,0.5598,6,6,0
34,0.5645,6,6,0
35,0.5675,6,6,0
36,0.5737,6,6,0
37,0.5732,6,6,0
38,0.5763,6,6,0
39,0.5785,6,6,0
40,0.5879,6,6,0
41,0.5921,6,6,0
42,0.5938,6,6,0
43,0.5972,6,6,0
44,0.5997,6,6,0
45,0.6041,6,6,0
46,0.6056,6,6,0
47,0.6082,6,6,0
48,0.614,6,6,0
49,0.6157,6,6,0
