round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1569,10.105450299997756,6,0,0,5,1,1,0.167,0.083
1,0.1267,10.211269999999786,6,0,0,5,4,4,0.5,0.188
2,0.1094,10.162662199996703,6,0,0,5,4,4,0.611,0.222
3,0.1002,10.020860800002993,6,0,0,6,7,5,0.667,0.333
4,0.1684,10.105180499995186,6,4,1,6,7,6,0.733,0.392
5,0.2057,8.694908400000713,6,4,1,2,3,1,0.733,0.387
6,0.2217,8.819583799995598,6,4,1,2,5,2,0.757,0.414
7,0.2825,8.954848599998513,6,4,1,2,3,2,0.775,0.403
8,0.2878,8.777756499999668,6,4,1,2,3,2,0.789,0.394
9,0.3119,8.680233999999473,6,4,1,2,3,2,0.8,0.388
10,0.353,8.958357399998931,6,4,1,2,2,2,0.809,0.37
11,0.3758,8.842554700000619,6,4,1,2,3,2,0.817,0.367
12,0.3914,8.786051800001587,6,4,1,2,3,2,0.823,0.363
13,0.4013,8.587576100006117,6,4,1,2,2,2,0.829,0.352
14,0.3864,8.640720000003057,6,4,1,2,3,2,0.833,0.35
15,0.3834,8.643902099996922,6,4,1,2,3,2,0.837,0.348
16,0.3812,8.766308300000674,6,4,1,2,4,2,0.841,0.354
17,0.4398,8.763700000003155,6,4,1,2,3,2,0.844,0.353
18,0.4462,8.614237200003117,6,6,1,2,3,2,0.847,0.354
19,0.4206,8.241852999999537,6,6,1,0,4,0,0.847,0.367
20,0.4592,8.151019099997939,6,6,1,0,2,0,0.847,0.363
21,0.4715,7.888108099999954,6,6,1,0,2,0,0.847,0.363
22,0.4453,8.099105500004953,6,6,1,0,1,0,0.847,0.354
23,0.4948,8.595854400002281,6,6,1,0,2,0,0.847,0.351
24,0.4767,7.884579699995811,6,6,1,0,0,0,0.847,0.338
25,0.5016,8.239824100004626,6,6,1,0,0,0,0.847,0.327
26,0.4995,8.228970699994534,6,6,1,0,2,0,0.847,0.325
27,0.4963,8.347869800003537,6,6,1,0,3,0,0.847,0.328
28,0.5104,8.175082199995813,6,6,1,0,1,0,0.847,0.322
29,0.4958,8.413318300001265,6,6,1,0,2,0,0.847,0.321
30,0.5186,8.15863750000426,6,6,1,0,0,0,0.847,0.312
31,0.5273,8.038512999999512,6,6,1,0,0,0,0.847,0.303
32,0.525,8.034541300003184,6,6,1,0,2,0,0.847,0.302
33,0.513,8.158429700000852,6,6,1,0,2,0,0.847,0.302
34,0.5273,8.136207900002773,6,6,1,0,1,0,0.847,0.298
35,0.5296,8.27568969999993,6,6,1,0,1,0,0.847,0.294
36,0.52,8.274576999996498,6,6,1,0,2,0,0.847,0.293
37,0.5581,8.187493900004483,6,6,1,0,2,0,0.847,0.293
38,0.5533,7.956643900004565,6,6,1,0,1,0,0.847,0.29
39,0.5481,8.082823500000814,6,6,1,0,2,0,0.847,0.29
40,0.5696,8.249670800003514,6,6,1,0,1,0,0.847,0.286
41,0.5549,8.018034999993688,6,6,1,0,2,0,0.847,0.288
42,0.5705,8.097781299999042,6,6,1,0,3,0,0.847,0.291
43,0.568,8.088244799997483,6,6,1,0,0,0,0.847,0.285
44,0.5816,8.10292820000177,6,6,1,0,1,0,0.847,0.282
45,0.5393,7.992732700004126,6,6,1,0,3,0,0.847,0.285
46,0.5808,8.123596000004909,6,6,1,0,1,0,0.847,0.282
47,0.5861,7.963871200001449,6,6,1,0,3,0,0.847,0.285
48,0.5909,8.230970699994941,6,6,1,0,3,0,0.847,0.288
49,0.5952,8.230138699997042,6,6,1,0,2,0,0.847,0.288
