round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1,47.601600699999835,9,0,0,27,2,0,0.0,0.071
1,0.1,47.11904649999997,9,0,0,29,10,10,0.194,0.131
2,0.1002,46.8803760999981,9,0,0,27,28,27,0.463,0.278
3,0.1,47.01113709999845,9,0,0,27,14,12,0.465,0.283
4,0.1376,46.62848049999957,9,0,0,25,20,19,0.539,0.298
5,0.1558,48.145639700000174,9,0,0,27,28,26,0.611,0.345
6,0.1509,48.313006000000314,9,0,0,29,24,22,0.639,0.369
7,0.2005,47.05229610000242,9,0,0,24,27,23,0.681,0.391
8,0.2336,47.35584620000009,9,0,0,29,32,28,0.713,0.429
9,0.2231,47.788991800000076,9,0,0,26,32,26,0.742,0.457
10,0.2511,47.83709309999904,9,0,0,28,32,28,0.765,0.481
11,0.2626,46.5593818999987,9,0,0,26,32,26,0.785,0.5
12,0.3084,48.30674879999788,9,0,0,27,32,27,0.801,0.516
13,0.3341,48.29971939999814,9,0,0,29,34,29,0.815,0.536
14,0.3646,47.90409020000152,9,0,0,27,32,27,0.828,0.548
15,0.3811,48.42425430000003,9,0,0,28,35,28,0.839,0.565
16,0.3856,47.36258949999683,9,0,0,25,29,25,0.848,0.567
17,0.4056,46.55314759999965,9,0,0,30,30,30,0.856,0.571
18,0.4233,47.035349400000996,9,0,0,29,33,29,0.864,0.581
19,0.4314,46.513227699997515,9,0,0,26,30,26,0.871,0.584
20,0.435,45.90052310000101,9,0,0,25,33,25,0.877,0.592
21,0.4578,44.71777379999912,9,0,0,26,29,26,0.883,0.593
22,0.4234,43.55512060000183,9,0,0,27,31,27,0.888,0.596
23,0.4531,44.358141100001376,9,0,0,29,32,29,0.892,0.601
24,0.4761,44.485137899999245,9,0,0,25,31,25,0.897,0.604
25,0.4735,44.295626600000105,9,0,0,29,32,29,0.901,0.609
26,0.4851,45.09755220000079,9,0,0,24,30,24,0.904,0.61
27,0.4972,44.584017099998164,9,0,0,24,30,24,0.908,0.611
28,0.505,43.8017147999999,9,0,0,27,32,27,0.911,0.615
29,0.4732,45.49568849999923,9,0,0,28,33,28,0.914,0.619
