round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1023,42.211217600000964,6,0,0,5,1,1,0.333,0.042
1,0.1346,40.523149900000135,6,0,0,6,3,1,0.25,0.188
2,0.1,41.79701810000188,6,0,0,5,5,0,0.167,0.333
3,0.1,41.94828689999849,6,0,0,5,5,5,0.375,0.344
4,0.147,41.32837659999859,6,0,0,4,3,3,0.467,0.308
5,0.1038,41.13733169999978,6,0,0,5,5,0,0.389,0.361
6,0.1008,40.954451400000835,6,0,0,5,2,0,0.333,0.345
7,0.1002,40.74209250000058,6,0,0,4,4,4,0.417,0.333
8,0.055,42.20307150000008,6,0,0,5,5,1,0.389,0.361
9,0.1,42.13945629999944,6,0,0,6,4,0,0.35,0.375
10,0.1,41.85281169999871,6,0,0,4,4,4,0.409,0.364
11,0.1,41.390450700000656,6,0,0,5,4,0,0.375,0.375
12,0.1,39.877683999999135,6,0,0,5,5,0,0.346,0.394
13,0.1,41.858503700001165,6,0,0,5,5,0,0.321,0.411
14,0.1,39.87600780000139,6,0,0,4,4,4,0.367,0.4
15,0.1,40.161334200001875,6,0,0,5,5,0,0.344,0.414
16,0.1,39.06430679999903,6,0,0,6,4,0,0.324,0.419
17,0.1,38.87340269999913,6,0,0,5,5,0,0.306,0.431
18,0.1,37.5806373000014,6,0,0,6,4,0,0.289,0.434
19,0.1,38.822268600000825,6,0,0,6,4,0,0.275,0.438
20,0.1,37.32378489999974,6,0,0,6,4,0,0.262,0.44
21,0.1,38.43820699999924,6,0,0,5,0,0,0.25,0.42
22,0.1,38.87745520000317,6,0,0,5,0,0,0.239,0.402
23,0.1,38.75227129999985,6,0,0,5,0,0,0.229,0.385
24,0.1,38.48378670000238,6,0,0,5,0,0,0.22,0.37
25,0.1,38.470293200000015,6,0,0,5,0,0,0.212,0.356
26,0.1,38.6953605000017,6,0,0,6,0,0,0.204,0.343
27,0.1,36.25080050000179,6,0,0,5,0,0,0.196,0.33
28,0.1,38.9871650999994,6,0,0,5,0,0,0.19,0.319
29,0.1,38.16538170000058,6,0,0,5,0,0,0.183,0.308
