round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1101,27.533209200002602,9,0,0,23,17,5,0.194,0.524
1,0.1,26.579665800003568,9,0,0,27,9,1,0.111,0.417
2,0.1,26.630856399999175,9,0,0,27,13,2,0.093,0.425
3,0.1,26.440825699995912,9,0,0,27,13,0,0.069,0.435
4,0.1,26.57528679999814,9,0,0,31,0,0,0.056,0.348
5,0.1,26.92112420000194,9,0,0,26,0,0,0.046,0.29
6,0.1,26.883990000002086,9,0,0,26,0,0,0.04,0.248
7,0.1,26.614103199994133,9,0,0,27,0,0,0.035,0.217
8,0.1,27.008353299999726,9,0,0,29,0,0,0.031,0.193
9,0.1,26.64192670000193,9,0,0,26,0,0,0.028,0.174
10,0.1,26.689560400001938,9,0,0,27,0,0,0.025,0.158
11,0.1,26.465765600005398,9,0,0,28,0,0,0.023,0.145
12,0.1,26.556020300005912,9,0,0,27,0,0,0.021,0.134
13,0.1,26.5138048000008,9,0,0,26,0,0,0.02,0.124
14,0.1,26.84703929999523,9,0,0,27,0,0,0.019,0.116
15,0.1,26.72573569999804,9,0,0,28,0,0,0.017,0.109
16,0.1,26.794035599996278,9,0,0,27,0,0,0.016,0.102
17,0.1,26.615813500000513,9,0,0,26,0,0,0.015,0.097
18,0.1,27.084461599995848,9,0,0,24,0,0,0.015,0.091
19,0.1,27.464421800003038,9,0,0,25,0,0,0.014,0.087
20,0.1,27.25106909999886,9,0,0,30,0,0,0.013,0.083
21,0.1,27.8391033999942,9,0,0,27,0,0,0.013,0.079
22,0.1,26.95127379999758,9,0,0,29,0,0,0.012,0.076
23,0.1,26.82539220000035,9,0,0,27,0,0,0.012,0.072
24,0.1,26.568535300000804,9,0,0,26,0,0,0.011,0.07
25,0.1,26.95737519999966,9,0,0,26,0,0,0.011,0.067
26,0.1,26.486560700002883,9,0,0,26,0,0,0.01,0.064
27,0.1,27.27683689999685,9,0,0,24,0,0,0.01,0.062
28,0.1,27.20835700000316,9,0,0,22,0,0,0.01,0.06
29,0.1,26.84389799999917,9,0,0,24,0,0,0.009,0.058
