round,acc,t_round_s,n_malicious
0,0.1,9.145273500000258,9
1,0.1,9.334463000001051,9
2,0.1,8.975529899998946,9
3,0.1,8.573371300000872,9
4,0.1,8.646738700001151,9
5,0.1,8.953587100000732,9
6,0.1,8.831493400000909,9
7,0.1,8.833962799999426,9
8,0.1,8.59400149999965,9
9,0.1,8.51494989999992,9
10,0.1,8.605661100000361,9
11,0.1,8.614935699999478,9
12,0.1,8.544995400001426,9
13,0.1,8.497161799999958,9
14,0.1,8.627108299999236,9
15,0.1,8.595952900001066,9
16,0.1,8.571283499999481,9
17,0.1,8.502030999999988,9
18,0.1,8.40563049999946,9
19,0.1,8.715184300001056,9
20,0.1,8.611386599999605,9
21,0.1,8.53124729999945,9
22,0.1,8.524028899999394,9
23,0.1,8.468322000000626,9
24,0.1,8.587148500000694,9
25,0.1,8.425015299999359,9
26,0.1,8.690718399999241,9
27,0.1,8.747409999999945,9
28,0.1,8.477106000000276,9
29,0.1,8.488416499998493,9
30,0.1,8.603020799999285,9
31,0.1,8.515651199999411,9
32,0.1,8.461164399999689,9
33,0.1,8.741930999998658,9
34,0.1,8.750769799999034,9
35,0.1,8.601918399999704,9
36,0.1,8.487352100000862,9
37,0.1,8.561425199999576,9
38,0.1,8.526934800000163,9
39,0.1,8.484217299999727,9
40,0.1,8.580194100000881,9
41,0.1,8.591181199999482,9
42,0.1,8.877984299999298,9
43,0.1,9.657944700000371,9
44,0.1,9.43767730000036,9
45,0.1,9.288667700000588,9
46,0.1,8.80941729999904,9
47,0.1,8.75640569999996,9
48,0.1,8.493208800000502,9
49,0.1,8.536853099998552,9
