round,acc,t_round_s,n_malicious
0,0.1,31.578271999998833,20
1,0.1,31.161144500001683,20
2,0.1,31.062650899999426,20
3,0.1,31.416901200005668,20
4,0.1,30.877313899996807,20
5,0.1547,31.274650300008943,20
6,0.2063,30.883990699992864,20
7,0.1528,30.197156499998528,20
8,0.1,28.40204279999307,20
9,0.1,27.22717410000041,20
10,0.1,28.254121600009967,20
11,0.1,27.943484999996144,20
12,0.1,28.003711600002134,20
13,0.1,27.246454300009646,20
14,0.1,27.3613658999966,20
15,0.1,27.25119999999879,20
16,0.1,27.16804810000758,20
17,0.1,27.70973769998818,20
18,0.1,27.38706429999729,20
19,0.1,27.475554900011048,20
20,0.1,27.393604999990202,20
21,0.1,29.628526599990437,20
22,0.1,31.072562500005006,20
23,0.1,31.007036100010737,20
24,0.1,31.5749000999931,20
25,0.1,32.55105490000278,20
26,0.1,30.874791399997775,20
27,0.1,30.733806899996125,20
28,0.1,32.439775199993164,20
29,0.1,32.129763799996,20
