round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest
0,0.1,114.16305350000039,100,68,25
1,0.1004,103.39456260000588,100,87,58
2,0.1766,99.30826510000043,100,90,71
3,0.1448,98.4244752000086,100,92,77
4,0.1038,95.91813519998686,100,93,86
5,0.1001,95.054157999999,100,93,91
6,0.1,94.63884259999031,100,93,93
7,0.1,96.49021569998877,100,93,95
8,0.1,96.27154830000654,100,93,96
9,0.1,95.43070139999327,100,93,96
10,0.1,90.88839339998958,100,93,96
11,0.1,94.96628710000368,100,95,97
12,0.1012,95.28038440000091,100,95,98
13,0.1102,92.08247009999468,100,95,99
14,0.1316,82.23215529999288,100,95,100
15,0.1661,81.35080339999695,100,95,100
16,0.2032,83.19238089999999,100,95,100
17,0.228,84.76068370000576,100,95,100
18,0.2492,82.60691630000656,100,95,102
19,0.2617,82.29315860000497,100,95,102
20,0.2707,81.14205920000677,100,95,103
21,0.2753,82.13450019998709,100,95,103
22,0.278,83.70618130000366,100,95,104
23,0.2775,81.55099289999634,100,95,104
24,0.2789,81.18664120000903,100,95,104
25,0.3048,82.08309549999831,100,95,104
26,0.3515,84.48997359999339,100,95,104
27,0.3853,81.92612230000668,100,95,104
28,0.4159,81.10608539999521,100,95,104
29,0.4548,80.39319669999531,100,95,105
