round,acc,t_round_s,n_malicious
0,0.1,23.991317799998797,20
1,0.1,25.371890199996415,20
2,0.1,24.99309170000197,20
3,0.1,25.339433699991787,20
4,0.1,24.546791600005236,20
5,0.1,24.448581799995736,20
6,0.1,24.68398229999002,20
7,0.1,25.526316999996197,20
8,0.1,25.16416559999925,20
9,0.1002,24.35223460000998,20
10,0.1292,25.08334240000113,20
11,0.1963,24.904183000006014,20
12,0.2114,24.907926400002907,20
13,0.2455,24.890272399992682,20
14,0.2846,24.945400100012193,20
15,0.3695,24.890039100006106,20
16,0.4611,24.72630449999997,20
17,0.5241,25.043267000000924,20
18,0.5899,24.563125100001344,20
19,0.628,25.087165199991432,20
20,0.6414,25.525000400011777,20
21,0.651,25.005175600002985,20
22,0.6489,25.38907430000836,20
23,0.6533,25.327299600001425,20
24,0.6743,24.881964300002437,20
25,0.6908,22.581661999996868,20
26,0.6768,21.974958100006916,20
27,0.6893,21.4195585000125,20
28,0.6861,23.161928800007445,20
29,0.7005,20.82077050000953,20
