round,acc,t_round_s,n_malicious
0,0.1,23.04342970000289,20
1,0.1,23.42778700000781,20
2,0.1,23.62512169999536,20
3,0.1,23.790834699990228,20
4,0.162,23.947084900006303,20
5,0.3487,23.97248589999799,20
6,0.4599,24.194881300005363,20
7,0.4864,24.293087600002764,20
8,0.5468,24.451425000006566,20
9,0.5982,24.064209899996058,20
10,0.6434,24.33192589999817,20
11,0.671,24.01540059999388,20
12,0.6664,23.95106350000424,20
13,0.6844,24.43889710000076,20
14,0.6786,24.61722239998926,20
15,0.701,24.31726699999126,20
16,0.6884,24.301585299996077,20
17,0.7124,24.262079200008884,20
18,0.7111,24.469618299990543,20
19,0.7216,27.14196570000786,20
20,0.7215,24.422601199999917,20
21,0.7093,23.95715200000268,20
22,0.7265,23.10190400001011,20
23,0.7216,23.004239400004735,20
24,0.7279,23.973993199993856,20
25,0.7302,23.66292830000748,20
26,0.7314,24.62557150000066,20
27,0.7345,24.77568930000416,20
28,0.7345,24.866822799987858,20
29,0.7383,25.187968300000648,20
