round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.107,42.24674020000384,20,0,0,61,37,27,0.1,0.013
1,0.1552,41.29839670000365,20,0,0,63,39,31,0.15,0.019
2,0.138,43.646402400001534,20,0,0,66,34,27,0.117,0.013
3,0.1491,42.99157669999113,20,0,0,65,31,24,0.113,0.009
4,0.188,43.0031411999953,20,3,1,63,42,32,0.15,0.01
5,0.1722,39.842840199999046,20,3,1,60,31,25,0.157,0.011
6,0.1586,40.39240170000994,20,4,1,57,36,28,0.183,0.01
7,0.1347,39.29426500000409,20,5,1,57,28,19,0.18,0.011
8,0.1375,42.00702809999348,20,5,1,53,27,22,0.197,0.012
9,0.1772,38.78264780000609,20,6,1,51,33,27,0.205,0.011
10,0.2427,37.93386740000278,20,8,1,52,40,34,0.223,0.011
11,0.318,35.33926269999938,20,8,1,44,46,41,0.257,0.011
12,0.3973,35.66842159999942,20,8,1,44,22,18,0.263,0.011
13,0.522,36.677874100001645,20,9,1,46,30,27,0.272,0.011
14,0.6039,35.75564350000059,20,9,1,40,41,37,0.301,0.011
15,0.6229,39.47967479999352,20,10,1,39,37,29,0.317,0.01
16,0.6201,45.276450999997905,20,12,1,37,40,36,0.338,0.011
17,0.6466,42.465900399998645,20,12,1,29,35,24,0.347,0.011
18,0.6758,46.5033540000004,20,15,1,30,36,30,0.364,0.012
19,0.6466,50.67735640000319,20,15,1,19,29,15,0.369,0.012
20,0.6788,45.88285470000119,20,15,1,20,37,20,0.378,0.012
21,0.6721,47.91322109999601,20,16,1,20,34,19,0.384,0.012
22,0.6913,45.24679430000833,20,16,1,16,32,16,0.391,0.013
23,0.6965,41.74633970001014,20,16,1,16,31,14,0.392,0.013
24,0.7292,41.140030299997306,20,17,1,15,31,14,0.396,0.014
25,0.7131,39.91213660000358,20,17,1,11,35,11,0.4,0.014
26,0.7405,40.762398100006976,20,18,1,12,29,11,0.402,0.014
27,0.7271,39.40743720000319,20,19,1,7,34,6,0.402,0.014
28,0.7531,40.09812860000238,20,19,1,4,30,4,0.404,0.014
29,0.7356,39.14903840000625,20,20,1,4,29,4,0.405,0.015
