round,acc,t_round_s,n_malicious
0,0.1008,34.007657199996174,20
1,0.1829,31.81800949999888,20
2,0.1956,31.005428899996332,20
3,0.1993,30.735614100005478,20
4,0.1991,32.17559820000315,20
5,0.199,30.562739100001636,20
6,0.2162,30.954114899999695,20
7,0.2371,30.75378169999749,20
8,0.2318,30.601292499995907,20
9,0.2343,31.240184999987832,20
10,0.229,31.385114200005773,20
11,0.2273,30.78740050000488,20
12,0.2314,31.339912499999627,20
13,0.2327,30.805919999998878,20
14,0.2373,32.92031719999795,20
15,0.233,30.993012899998575,20
16,0.2437,30.65506620000815,20
17,0.2574,31.197682700003497,20
18,0.3009,30.5198817000055,20
19,0.273,30.756947699992452,20
20,0.289,31.236256699994556,20
21,0.2844,31.207246300007682,20
22,0.3218,31.665268800003105,20
23,0.3394,32.65339979999408,20
24,0.3589,31.532508499993128,20
25,0.3721,31.239484400008223,20
26,0.3891,30.70573129999684,20
27,0.4121,30.844467299990356,20
28,0.4181,31.1237598000007,20
29,0.4285,30.298234199988656,20
