round,acc,t_round_s,n_malicious
0,0.1,20.028463499998907,20
1,0.1469,20.13612059998559,20
2,0.1,20.32097219998832,20
3,0.1,20.26720179998665,20
4,0.1,20.033895700005814,20
5,0.1,20.04875919999904,20
6,0.1,20.378939200018067,20
7,0.1,20.233059899997897,20
8,0.1,20.28671280000708,20
9,0.1,20.84268639999209,20
10,0.1,20.273770100000547,20
11,0.1,20.250784099975135,20
12,0.1,20.058069399994565,20
13,0.1,20.306822699989425,20
14,0.1,20.315303999988828,20
15,0.1,20.642438100010622,20
16,0.1,20.24954550000257,20
17,0.1,20.23276590000023,20
18,0.1,20.326630499999737,20
19,0.1,20.397599399992032,20
20,0.1,20.521413599984953,20
21,0.1,20.265861000021687,20
22,0.1,20.127313899982255,20
23,0.1,20.36577109998325,20
24,0.1,20.266664999973727,20
25,0.1,20.304410599987023,20
26,0.1,20.48906769999303,20
27,0.1,20.314307499997085,20
28,0.1,20.3352717999951,20
29,0.1,20.47913150000386,20
