round,acc,t_round_s,n_malicious
0,0.1,34.28753190000134,20
1,0.1,35.034266400005436,20
2,0.1,35.015598799989675,20
3,0.1101,34.530785699986154,20
4,0.2394,35.30655750000733,20
5,0.2972,35.313661899999715,20
6,0.2851,34.61958070000401,20
7,0.3151,35.28294490001281,20
8,0.3782,35.07600190000085,20
9,0.424,35.24000520000118,20
10,0.529,35.67401339999924,20
11,0.4893,35.74767859998974,20
12,0.5612,35.493008400007966,20
13,0.5622,35.80400400000508,20
14,0.5706,35.929257199997664,20
15,0.581,33.373950699999114,20
16,0.577,33.48252999999386,20
17,0.5739,34.613252700000885,20
18,0.5811,34.98762759999954,20
19,0.5975,35.94399440000416,20
20,0.5982,35.56005639999057,20
21,0.6061,35.64308809999784,20
22,0.6022,34.880597299998044,20
23,0.6038,35.31066350000037,20
24,0.6356,35.28276430000551,20
25,0.6344,31.79223120000097,20
26,0.6304,31.339792999991914,20
27,0.6393,30.8937847000052,20
28,0.634,31.60084570001345,20
29,0.6378,31.055155800000648,20
