round,acc,t_round_s,n_malicious
0,0.1,29.237845600000583,100
1,0.1,31.364932900003623,100
2,0.1,31.082844999997178,100
3,0.1,31.193029800007935,100
4,0.1,31.243299699999625,100
5,0.1,31.9311100999912,100
6,0.1,31.466498499998124,100
7,0.1,31.57459600000584,100
8,0.1,30.884417600012966,100
9,0.1,30.60765539998829,100
10,0.1,30.977127500009374,100
11,0.1,30.265453900006833,100
12,0.101,30.47817170000053,100
13,0.103,30.580345299997134,100
14,0.1115,30.942651300007128,100
15,0.1211,30.967178799997782,100
16,0.114,30.692343499991694,100
17,0.0977,31.087134899993544,100
18,0.093,31.149388999998337,100
19,0.0976,31.097962899992126,100
20,0.0993,30.96188109999639,100
21,0.1,31.600066800005152,100
22,0.1,31.43868210000801,100
23,0.1,31.445141600008355,100
24,0.1,31.376671999998507,100
25,0.1,34.432056799996644,100
26,0.1,31.839819799992256,100
27,0.1,30.067950799988466,100
28,0.1,30.122397400002228,100
29,0.1,31.202967400007765,100
