round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest
0,0.0999,24.10732289997395,6,1,0
1,0.2435,23.354693700006464,6,2,0
2,0.5905,22.59801139999763,6,4,0
3,0.7238,21.41606430002139,6,6,0
4,0.7309,20.255234199983533,6,6,0
5,0.7565,20.025854299979983,6,6,0
6,0.7693,20.41709869998158,6,6,0
7,0.7855,18.219023700017715,6,6,0
8,0.7921,17.641075000021374,6,6,0
9,0.7966,17.47605370002566,6,6,0
10,0.8044,17.482202500017593,6,6,0
11,0.8104,16.957377899991116,6,6,0
12,0.8176,16.848302700003842,6,6,1
13,0.83,16.722074199991766,6,6,1
14,0.8256,16.46219939997536,6,6,1
15,0.8357,16.50417080000625,6,6,1
16,0.8353,16.31864620000124,6,6,1
17,0.8434,16.352514700003667,6,6,1
18,0.8415,16.05548860001727,6,6,1
19,0.8459,15.768711499986239,6,6,1
20,0.8493,16.195839299994987,6,6,1
21,0.8529,16.17138590000104,6,6,1
22,0.8536,15.957057799998438,6,6,1
23,0.8565,15.707574300002307,6,6,1
24,0.8602,15.93779560000985,6,6,1
25,0.8596,16.22752680000849,6,6,1
26,0.8618,15.6317851000058,6,6,1
27,0.8651,15.800754099996993,6,6,1
28,0.8651,15.937171400000807,6,6,1
29,0.8683,15.890097800001968,6,6,1
30,0.8661,15.574629100010497,6,6,1
31,0.8702,16.116751900000963,6,6,1
32,0.873,15.978089200012619,6,6,1
33,0.8703,15.80114070000127,6,6,1
34,0.8727,15.69672680000076,6,6,1
35,0.8723,15.88858599998639,6,6,1
36,0.8758,15.94526209999458,6,6,1
37,0.8753,15.885452899994561,6,6,1
38,0.8772,15.674139400012791,6,6,1
39,0.8795,20.961474200012162,6,6,1
40,0.8788,20.54369200000656,6,6,1
41,0.8817,18.628914600005373,6,6,1
42,0.8818,17.209263400000054,6,6,1
43,0.8832,16.00050039999769,6,6,1
44,0.8834,15.586676999984775,6,6,1
45,0.8847,15.840570499975001,6,6,1
46,0.8841,15.903311199974269,6,6,1
47,0.8865,15.854503699985798,6,6,1
48,0.886,15.770200800005114,6,6,1
49,0.8863,15.70160699999542,6,6,1
