round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.4987,21.038248900003964,6,0,0,19,32,19,1.0,0.417
1,0.6741,20.966334900003858,6,0,0,21,33,21,1.0,0.438
2,0.7407,21.840448300004937,6,0,0,19,29,19,1.0,0.347
3,0.7492,23.232151100004558,6,0,0,23,26,23,1.0,0.281
4,0.7597,23.196151899988763,6,6,0,22,24,22,1.0,0.233
5,0.7788,19.23017210001126,6,6,0,0,13,0,1.0,0.194
6,0.7836,19.26380290000816,6,6,0,0,9,0,1.0,0.167
7,0.7988,19.2387616999913,6,6,0,0,6,0,1.0,0.146
8,0.8075,19.400523400021484,6,6,0,0,6,0,1.0,0.13
9,0.806,19.227162700000918,6,6,0,0,6,0,1.0,0.121
10,0.8037,19.017766100005247,6,6,0,0,8,0,1.0,0.114
11,0.8196,20.09381179997581,6,6,0,0,9,0,1.0,0.108
12,0.8282,19.141164100001333,6,6,0,0,5,0,1.0,0.099
13,0.8333,18.96242669998901,6,6,0,0,3,0,1.0,0.092
14,0.8343,19.438978000020143,6,6,0,0,5,0,1.0,0.089
15,0.8382,19.076492399995914,6,6,0,0,6,0,1.0,0.083
16,0.8405,19.529331199999433,6,6,0,0,3,0,1.0,0.078
17,0.8451,19.648698999983026,6,6,0,0,3,0,1.0,0.074
18,0.8494,19.273486699996283,6,6,0,0,3,0,1.0,0.07
19,0.848,19.40687629999593,6,6,0,0,2,0,1.0,0.067
20,0.8522,19.34465869999258,6,6,0,0,4,0,1.0,0.063
21,0.8526,19.9401654000103,6,6,0,0,4,0,1.0,0.062
22,0.8561,20.315812099986942,6,6,0,0,1,0,1.0,0.06
23,0.8584,20.3242379000003,6,6,0,0,1,0,1.0,0.057
24,0.861,19.894992699992144,6,6,0,0,2,0,1.0,0.055
25,0.8644,20.00933289999375,6,6,0,0,1,0,1.0,0.053
26,0.8652,19.459016500011785,6,6,0,0,0,0,1.0,0.051
27,0.8666,19.261185099981958,6,6,0,0,1,0,1.0,0.049
28,0.867,19.497090899996692,6,6,0,0,2,0,1.0,0.047
29,0.8686,19.41568350000307,6,6,0,0,1,0,1.0,0.046
30,0.8715,19.29388640000252,6,6,0,0,1,0,1.0,0.044
31,0.8711,19.30608049998409,6,6,0,0,0,0,1.0,0.043
32,0.8738,19.509551600000123,6,6,0,0,1,0,1.0,0.042
33,0.8716,19.322114000009606,6,6,0,0,1,0,1.0,0.04
34,0.8751,19.55185319998418,6,6,0,0,1,0,1.0,0.039
35,0.8729,19.29745070001809,6,6,0,0,1,0,1.0,0.038
36,0.8777,19.536647000000812,6,6,0,0,2,0,1.0,0.037
37,0.8778,19.53392940000049,6,6,0,0,3,0,1.0,0.036
38,0.8776,19.598720100009814,6,6,0,0,1,0,1.0,0.035
39,0.8804,19.647954200016102,6,6,0,0,0,0,1.0,0.034
40,0.8817,19.685086200013757,6,6,0,0,1,0,1.0,0.034
41,0.8819,19.387021400005324,6,6,0,0,2,0,1.0,0.033
42,0.8829,19.81781179999234,6,6,0,0,0,0,1.0,0.032
43,0.8841,19.7238526000001,6,6,0,0,0,0,1.0,0.031
44,0.8846,19.444432399992365,6,6,0,0,2,0,1.0,0.031
45,0.8831,19.578036599996267,6,6,0,0,2,0,1.0,0.03
46,0.8832,19.585075100010727,6,6,0,0,1,0,1.0,0.029
47,0.8876,19.09773340000538,6,6,0,0,0,0,1.0,0.029
48,0.8879,19.35658560000593,6,6,0,0,0,0,1.0,0.028
49,0.8901,19.816325099993264,6,6,0,0,1,0,1.0,0.028
