round,acc,t_round_s,n_malicious
0,0.1301,14.752968900000269,20
1,0.1,14.8566009999995,20
2,0.1,14.233458599999722,20
3,0.1,13.560009000000719,20
4,0.1,13.58559470000182,20
5,0.1,14.625853600002301,20
6,0.1,14.670660900002986,20
7,0.1,14.766011400002753,20
8,0.1,14.641121500004374,20
9,0.1,15.059647599999153,20
10,0.1,14.701680199999828,20
11,0.1,14.46055279999564,20
12,0.1,14.518321399998968,20
13,0.1,14.25928980000026,20
14,0.1,14.018020100003923,20
15,0.1,14.370725900000252,20
16,0.1,14.282230500000878,20
17,0.1,14.17567560000316,20
18,0.1,14.72256919999927,20
19,0.1,14.485712800000329,20
20,0.1,14.302694199999678,20
21,0.1,14.474544999997306,20
22,0.1,14.577638700000534,20
23,0.1,14.470728200001759,20
24,0.1,14.577011999994284,20
25,0.1,14.283777800003008,20
26,0.1,14.341525099996943,20
27,0.1,14.47758800000156,20
28,0.1,14.535494499999913,20
29,0.1,14.487221199997293,20
30,0.1,14.412368500001321,20
31,0.1,14.653829399998358,20
32,0.1,14.380713300000934,20
33,0.1,14.635483800004295,20
34,0.1,14.547590900001524,20
35,0.1,13.673292599996785,20
36,0.1,13.087307200003124,20
37,0.1,13.230083100002958,20
38,0.1,14.648083499996574,20
39,0.1,14.83498210000107,20
40,0.1,14.459015399996133,20
41,0.1,14.944449199996598,20
42,0.1,14.9971599000055,20
43,0.1,14.803626300003089,20
44,0.1,15.203083599997626,20
45,0.1,14.993329600001744,20
46,0.1,14.826012899997295,20
47,0.1,14.906168300003628,20
48,0.1,15.026490399999602,20
49,0.1,15.097954100005154,20
