round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest
0,0.1,157.17840999999316,100,68,26
1,0.1,112.10026240001025,100,77,57
2,0.1,90.82725709999795,100,81,77
3,0.1,83.7784202000039,100,83,87
4,0.1,84.0744388000021,100,84,94
5,0.1001,80.98859380000795,100,85,97
6,0.1013,81.01305810001213,100,87,98
7,0.1065,82.71923230000539,100,87,98
8,0.1188,83.19817180000246,100,90,103
9,0.137,81.58634919999167,100,91,105
10,0.1603,82.16058180000982,100,94,105
11,0.18,79.61837760001072,100,95,106
12,0.1952,79.17275349999545,100,96,106
13,0.1979,78.79825409999467,100,97,106
14,0.196,79.05165220001072,100,97,107
15,0.1921,79.09320790000493,100,97,109
16,0.189,79.14738949999446,100,97,109
17,0.1877,78.67441140000301,100,98,109
18,0.186,77.56950200001302,100,98,109
19,0.1863,78.47298520000186,100,98,110
20,0.1875,78.49045600001409,100,98,110
21,0.1894,77.66045170000871,100,98,110
22,0.1978,77.4472703999927,100,98,110
23,0.2137,77.41021299999557,100,98,110
24,0.2315,77.2627877999912,100,98,110
25,0.2447,77.67160440000589,100,98,111
26,0.2645,77.05239730000903,100,98,111
27,0.2794,77.57383459999983,100,98,111
28,0.2955,77.64105780000682,100,98,112
29,0.312,77.61848580000515,100,98,112
30,0.3291,80.86328269999649,100,98,113
31,0.349,76.96408659999724,100,98,115
32,0.3741,76.89061819999188,100,98,117
33,0.3983,76.65776520001236,100,98,121
34,0.4229,75.2231560999935,100,98,121
35,0.4634,76.0501559000113,100,98,121
36,0.5186,76.5385937999963,100,98,122
37,0.5813,75.90272100000584,100,98,123
38,0.597,75.2436311999918,100,98,123
39,0.6139,76.50131880000117,100,98,126
40,0.6191,74.34104499999376,100,98,126
41,0.6248,74.08403559999715,100,98,126
42,0.6315,74.4459244000027,100,98,127
43,0.637,73.30035239999415,100,98,127
44,0.6413,73.29023890000826,100,98,129
45,0.6417,72.60583060000499,100,98,129
46,0.6525,72.72769400000107,100,98,132
47,0.6515,73.07380339999509,100,98,132
48,0.6552,71.85341920000792,100,98,132
49,0.6593,71.85668549999536,100,98,133
