round,acc,t_round_s,n_malicious
0,0.1,38.021862900001,100
1,0.1,39.92519399999583,100
2,0.102,40.89997120000771,100
3,0.1302,43.625789799989434,100
4,0.1749,42.235326299996814,100
5,0.2576,42.28092600000673,100
6,0.27,42.11426849999407,100
7,0.2696,42.89425080000365,100
8,0.2335,42.29173389999778,100
9,0.2166,42.95372530000168,100
10,0.1734,42.56173199998739,100
11,0.1988,43.42147180000029,100
12,0.21,43.184685800006264,100
13,0.2278,43.568347799999174,100
14,0.2301,44.05003120000765,100
15,0.2418,44.60764740000013,100
16,0.2479,44.52927030000137,100
17,0.2473,44.015386700004456,100
18,0.2518,44.690519399999175,100
19,0.2649,44.82564939999429,100
20,0.2922,44.60324419999961,100
21,0.3276,44.81145989999641,100
22,0.3381,43.93711740001163,100
23,0.3409,44.190159999998286,100
24,0.3731,44.212233699989156,100
25,0.3886,45.732387399999425,100
26,0.4065,44.180108999993536,100
27,0.4465,44.299318599994876,100
28,0.4994,44.06878909999796,100
29,0.5456,45.4379159000091,100
30,0.5684,45.874842500008526,100
31,0.5521,45.792001000008895,100
32,0.5785,44.42328719999932,100
33,0.5582,45.26387369999429,100
34,0.5482,44.267441399992094,100
35,0.562,45.402604200004134,100
36,0.5814,45.05082770000445,100
37,0.5518,44.75973989999329,100
38,0.494,44.272532899994985,100
39,0.5803,44.9802750999952,100
40,0.5104,45.213268200008315,100
41,0.5941,45.46359050000319,100
42,0.5498,45.218652499999735,100
43,0.631,45.04043809999712,100
44,0.5039,45.49760519999836,100
45,0.6015,45.71225599999889,100
46,0.4953,40.104723500000546,100
47,0.6297,39.051863000000594,100
48,0.5641,38.619730200007325,100
49,0.6395,38.67182370000228,100
