round,acc,t_round_s,n_malicious
0,0.1,46.62339760000759,100
1,0.1,52.372626299998956,100
2,0.1,50.999529099994106,100
3,0.1,53.14485589999822,100
4,0.1,47.205382400003145,100
5,0.1,41.26871609999216,100
6,0.1,38.94219599998905,100
7,0.1,39.037813999995706,100
8,0.1,40.67230259999633,100
9,0.1,40.39138820000517,100
10,0.1,40.372223800004576,100
11,0.1004,42.58902689999377,100
12,0.1009,42.3076960999897,100
13,0.1033,42.83147819999431,100
14,0.1098,43.22758099999919,100
15,0.1206,48.81676990000415,100
16,0.1345,42.65577850000409,100
17,0.1532,42.443248600000516,100
18,0.1705,41.70669029999408,100
19,0.1948,42.945357900011004,100
20,0.2074,42.00866469999892,100
21,0.2159,40.04457270000421,100
22,0.213,43.24208429999999,100
23,0.2098,43.42190089999349,100
24,0.2085,44.64905610001006,100
25,0.2092,39.851082599998335,100
26,0.2106,39.97679149999749,100
27,0.2165,43.86326440000266,100
28,0.2243,43.64448529999936,100
29,0.2324,46.38136550001218,100
30,0.238,42.83286209999642,100
31,0.2449,42.08271000000241,100
32,0.2502,41.579477300008875,100
33,0.2525,50.40080299999681,100
34,0.2552,45.88555790000828,100
35,0.2589,41.00302129999909,100
36,0.2679,41.99984069999482,100
37,0.2707,53.59576020001259,100
38,0.2754,46.84507570001006,100
39,0.2794,44.95354609999049,100
40,0.2843,43.85464989999309,100
41,0.287,44.05108079999627,100
42,0.2938,43.75664040000993,100
43,0.2987,43.55243060000066,100
44,0.3013,41.33861160000379,100
45,0.3017,39.76908070000354,100
46,0.2999,40.78258569999889,100
47,0.3002,42.521531499995035,100
48,0.3035,41.42573679999623,100
49,0.3036,39.369220200009295,100
