round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1096,13.086504800001421,20,0,0,14,9,5,0.0,0.0
1,0.1529,12.505316599999787,20,0,0,17,11,9,0.0,0.0
2,0.1534,12.982066700002179,20,0,0,18,5,4,0.0,0.0
3,0.1854,13.236304500002007,20,0,0,17,8,8,0.0,0.003
4,0.1922,13.384068899998965,20,0,1,16,12,9,0.0,0.005
5,0.196,13.175309199999901,20,0,1,17,13,12,0.0,0.005
6,0.1608,13.086672299999918,20,0,1,17,7,4,0.029,0.009
7,0.1967,13.217019199997594,20,0,1,14,10,10,0.05,0.01
8,0.1807,13.24502930000017,20,2,1,15,9,6,0.056,0.012
9,0.1921,12.964750700000877,20,2,1,14,10,9,0.053,0.013
10,0.1985,12.98686810000072,20,2,1,15,4,3,0.061,0.013
11,0.1807,12.887835499997891,20,2,1,13,8,6,0.067,0.013
12,0.1908,13.012902899998153,20,2,1,17,4,4,0.076,0.014
13,0.1941,12.963266300001123,20,5,1,16,4,4,0.083,0.013
14,0.2397,12.623154299999442,20,5,1,13,11,11,0.083,0.013
15,0.327,12.541603800000303,20,5,1,15,12,12,0.082,0.012
16,0.3288,12.580037000003358,20,5,1,13,5,4,0.082,0.012
17,0.3165,12.78800620000402,20,5,1,13,9,8,0.085,0.011
18,0.5532,12.738576399999147,20,5,1,9,12,9,0.089,0.011
19,0.5701,12.590322999996715,20,5,1,13,9,8,0.094,0.011
20,0.6406,12.411282300003222,20,6,1,13,12,12,0.105,0.01
21,0.6693,12.308115599997109,20,6,1,12,13,12,0.122,0.01
22,0.6511,12.449857699997665,20,6,1,12,12,11,0.138,0.01
23,0.5997,12.448205699998653,20,6,1,12,12,12,0.161,0.011
24,0.6277,12.420883600003435,20,7,1,13,13,13,0.184,0.011
25,0.6623,12.12192099999811,20,7,1,11,11,10,0.203,0.011
26,0.6209,12.528123199997935,20,9,1,12,12,12,0.221,0.011
27,0.663,12.126535500006867,20,9,1,11,9,9,0.234,0.011
28,0.6735,11.9742369999949,20,13,1,10,10,9,0.246,0.011
29,0.6804,11.304025399993407,20,13,1,7,9,6,0.252,0.011
30,0.6997,11.34018510000169,20,17,1,6,8,6,0.258,0.011
31,0.7,11.122490899993863,20,17,1,3,7,3,0.259,0.011
32,0.7364,10.971765900001628,20,17,1,3,9,3,0.261,0.011
33,0.7192,11.035362999995414,20,17,1,3,10,3,0.265,0.012
34,0.751,11.041751099997782,20,18,1,3,7,3,0.269,0.012
35,0.7522,10.738684800002375,20,18,1,2,11,1,0.269,0.012
36,0.732,10.83924140000454,20,18,1,2,5,1,0.269,0.012
37,0.7508,10.910447800000838,20,18,1,2,8,2,0.268,0.013
38,0.744,10.906252399996447,20,18,1,2,8,2,0.268,0.013
39,0.7495,10.856331100003445,20,18,1,2,6,2,0.269,0.013
40,0.7473,10.898963199993887,20,18,1,2,5,2,0.271,0.013
41,0.7696,11.013365800004976,20,18,1,2,7,2,0.273,0.013
42,0.7573,10.93657159999566,20,19,1,2,8,2,0.274,0.013
43,0.7762,10.77575710000383,20,19,1,1,8,1,0.275,0.013
44,0.7556,10.976830899999186,20,20,1,1,8,1,0.276,0.013
45,0.7766,10.783712799995556,20,20,1,0,7,0,0.276,0.013
46,0.7675,10.757266100001289,20,20,1,0,9,0,0.276,0.013
47,0.7841,10.698439500003587,20,20,1,0,9,0,0.276,0.013
48,0.7746,11.09592330000305,20,20,1,0,9,0,0.276,0.014
49,0.7857,11.248718900002132,20,20,1,0,5,0,0.276,0.015
