round,acc,t_round_s,n_malicious
0,0.1,41.506402499988326,100
1,0.1,46.616580100002466,100
2,0.1,50.98754610000469,100
3,0.1,53.47814120000112,100
4,0.1,54.79249139998865,100
5,0.1,56.03270799999882,100
6,0.1,55.97663009999087,100
7,0.1,56.97205000001122,100
8,0.1,57.545302400001674,100
9,0.1,57.604551599986735,100
10,0.1,58.39241889999539,100
11,0.1,59.98885209999571,100
12,0.1,60.33732819999568,100
13,0.1,59.77954760000284,100
14,0.1,60.234680099994875,100
15,0.1,60.39922590000788,100
16,0.1,9081.8408834,100
17,0.1,37.431448299990734,100
18,0.1,40.281930700002704,100
19,0.1,44.57799559998966,100
20,0.1,47.23408310000377,100
21,0.1,50.03190439999162,100
22,0.1,51.95533460000297,100
23,0.1,52.74017819999426,100
24,0.1,52.974874999999884,100
25,0.1,53.9896119999903,100
26,0.1,54.7827324999962,100
27,0.1,54.716487400000915,100
28,0.1,55.729375900002196,100
29,0.1,55.553980700002285,100
30,0.1,58.32840579999902,100
31,0.1,58.04383650000091,100
32,0.1,58.3752952000068,100
33,0.1,59.26693670000532,100
34,0.1,57.53991049999604,100
35,0.1,58.18160790001275,100
36,0.1,59.689271000010194,100
37,0.1,60.25214039999992,100
38,0.1,61.05136179999681,100
39,0.1,60.230884299991885,100
40,0.1,60.794711899987306,100
41,0.1,61.34042170000612,100
42,0.1,60.82692349998979,100
43,0.1,61.90311510000902,100
44,0.1,58.53005139999732,100
45,0.1,57.62452399999893,100
46,0.1,58.086300399998436,100
47,0.1,58.39179239999794,100
48,0.1,57.99942269999883,100
49,0.1,58.317586500008474,100
