round,acc,t_round_s,n_malicious
0,0.1,12.792689900001278,20
1,0.1,12.55421970000316,20
2,0.1,12.861056899993855,20
3,0.1,12.900567699995008,20
4,0.1,12.813482199999271,20
5,0.1,12.787935699998343,20
6,0.1,12.677419600004214,20
7,0.1,12.67872350000107,20
8,0.1,12.742213600002287,20
9,0.1,12.53969369999686,20
10,0.1,12.645417100000486,20
11,0.1,12.525551099999575,20
12,0.1,12.536304699999164,20
13,0.1,12.696324500000628,20
14,0.1,12.740530100003525,20
15,0.1,12.690336799998477,20
16,0.1,12.760586699994747,20
17,0.1,12.570312399999239,20
18,0.1,12.43503139999666,20
19,0.1,12.312066999998933,20
20,0.1,12.488504100001592,20
21,0.1,12.359752399999707,20
22,0.1,12.459880399997928,20
23,0.1,12.482928700002958,20
24,0.1,12.491508799997973,20
25,0.1,12.453236800000013,20
26,0.1,12.448323399999936,20
27,0.1,12.546872200000507,20
28,0.1,12.603806699997222,20
29,0.1,12.658275200003118,20
30,0.1,12.479487500000687,20
31,0.1,12.291674899999634,20
32,0.1,12.6479227000018,20
33,0.1,12.635451100002683,20
34,0.1,12.407411799998954,20
35,0.1,12.303295400000934,20
36,0.1,12.256287699994573,20
37,0.1,12.30026490000455,20
38,0.1,12.19612639999832,20
39,0.1,12.23505920000025,20
40,0.1,12.405396699999983,20
41,0.1,12.14760650000244,20
42,0.1,12.471883199999866,20
43,0.1,12.322437300004822,20
44,0.1,12.216626100002031,20
45,0.1,12.260395100005553,20
46,0.1,12.224259999995411,20
47,0.1,12.288146300001245,20
48,0.1,12.426782300004561,20
49,0.1,12.202729500000714,20
