round,acc,t_round_s,n_malicious
0,0.1,69.03061539999908,100
1,0.1,66.90417779999552,100
2,0.1,69.11268200000632,100
3,0.1,67.09590249999019,100
4,0.1,65.69068179999886,100
5,0.1,65.30653190000157,100
6,0.1,65.60483880000538,100
7,0.1,65.80612850000034,100
8,0.1,63.93050809999113,100
9,0.1,64.64340299999458,100
10,0.1,64.06954310000583,100
11,0.1,63.99369970000407,100
12,0.1,63.35741810000036,100
13,0.1,63.96347839999362,100
14,0.1,72.90887899999507,100
15,0.1,72.11940940000932,100
16,0.1,68.16488050000044,100
17,0.1,68.4625675999996,100
18,0.1,75.36370379998698,100
19,0.1,67.37216120000812,100
20,0.1,54.60032240000146,100
21,0.1,52.9088475999888,100
22,0.1,51.46364230000472,100
23,0.1,53.71730740000203,100
24,0.1,51.15122500000871,100
25,0.1,52.39376059999631,100
26,0.1,51.59052700000757,100
27,0.1,53.467952100007096,100
28,0.1,54.15980130000389,100
29,0.1,50.48382449999917,100
30,0.1,50.55580449999252,100
31,0.1,51.29686449999281,100
32,0.1001,49.990168000003905,100
33,0.1003,49.575256900003296,100
34,0.1013,51.28998400000273,100
35,0.1022,50.56661229999736,100
36,0.1049,48.67935049999505,100
37,0.108,49.3144644999993,100
38,0.1145,49.57386150000093,100
39,0.1191,49.47304309999163,100
40,0.1246,50.012445599990315,100
41,0.1301,49.69892679998884,100
42,0.1372,49.30969679998816,100
43,0.1437,51.56524099998933,100
44,0.1498,49.44026090000989,100
45,0.1555,49.67784329999995,100
46,0.1602,50.71979059999285,100
47,0.1646,53.72069100000954,100
48,0.1693,61.212404799996875,100
49,0.1747,61.68163049999566,100
