round,acc,t_round_s,n_malicious
0,0.1,12.64881030000106,20
1,0.1004,12.83537229999638,20
2,0.1,12.873257300001569,20
3,0.1,12.874699899999541,20
4,0.1,12.992831699993985,20
5,0.1,12.703139800003555,20
6,0.1,13.121771400001307,20
7,0.1,12.883714100004,20
8,0.1,12.911122100005741,20
9,0.1,12.622889499994926,20
10,0.1,12.616727399996307,20
11,0.1,12.594481100000849,20
12,0.1,12.582100100000389,20
13,0.1,12.483481200004462,20
14,0.1,12.453751500004728,20
15,0.1,12.430549099997734,20
16,0.1,12.465916900000593,20
17,0.1,12.447739700000966,20
18,0.1,12.408117799997854,20
19,0.1,12.3440008999969,20
20,0.1,12.704733899998246,20
21,0.1,12.568434399996477,20
22,0.1,12.491128699999535,20
23,0.1,12.330558300003759,20
24,0.1,12.707920999993803,20
25,0.1,12.508683899999596,20
26,0.1,12.489022599998862,20
27,0.1,12.558432199999515,20
28,0.1,12.534102100005839,20
29,0.1,12.571337399996992,20
30,0.1,12.484947800003283,20
31,0.1,12.619662200006132,20
32,0.1,12.369243900000583,20
33,0.1,12.330977799996617,20
34,0.1,12.473986800003331,20
35,0.1,12.546747499996854,20
36,0.1,12.475638399999298,20
37,0.1,12.582183800004714,20
38,0.1,12.365397699999448,20
39,0.1,12.545116200002667,20
40,0.1,12.50894739999785,20
41,0.1,12.529188499996962,20
42,0.1,12.629011199998786,20
43,0.1,12.694198500001221,20
44,0.1,12.519434199995885,20
45,0.1,12.57671400000254,20
46,0.1,12.478890300000785,20
47,0.1,12.488496300000406,20
48,0.1,12.496646400002646,20
49,0.1,12.917520099996182,20
