round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest
0,0.1,68.73175959999207,100,3,0
1,0.1,68.61945519997971,100,5,0
2,0.1,69.88037020000047,100,5,0
3,0.1,71.028679799987,100,5,0
4,0.1,70.8829455000232,100,5,0
5,0.1,70.79923090001103,100,5,0
6,0.1,71.53008970001247,100,5,0
7,0.1,74.11214759998256,100,5,0
8,0.1,72.89405479998095,100,5,0
9,0.1,72.63329389999853,100,5,0
10,0.1,72.90479760000017,100,5,0
11,0.1,73.67862139997305,100,5,0
12,0.1,73.8146507999918,100,5,0
13,0.1,73.97285260001081,100,5,0
14,0.1,73.25826810000581,100,5,0
15,0.1,73.51200149999931,100,5,0
16,0.1,73.46014909999212,100,5,0
17,0.1,75.24089650000678,100,5,0
18,0.1,72.03145499998936,100,5,0
19,0.1,71.55041659998824,100,5,0
20,0.1,73.18768200001796,100,5,0
21,0.1,71.92068539999309,100,5,0
22,0.1,74.3150456000003,100,5,0
23,0.1,71.92630689998623,100,5,0
24,0.1,71.92739810000057,100,5,0
25,0.1,71.4500321999949,100,5,0
26,0.1,72.71856800001115,100,5,0
27,0.1,72.47246829999494,100,5,0
28,0.1,72.84731159999501,100,5,0
29,0.1,72.51566500001354,100,5,0
30,0.1,72.36177590000443,100,5,0
31,0.1,71.51412760000676,100,5,0
32,0.1,68.62166779997642,100,5,0
33,0.1,67.93679460001295,100,5,0
34,0.1,67.22213710000506,100,5,0
35,0.1,66.75698530001682,100,5,0
36,0.1,66.03525650000665,100,5,0
37,0.1,66.24757049998152,100,5,0
38,0.1,66.01504640001804,100,5,0
39,0.1,66.50843220000388,100,5,0
40,0.1,66.14888809999684,100,5,0
41,0.1,66.87345620000269,100,5,0
42,0.1,67.20380899999873,100,5,0
43,0.1,66.52467579999939,100,5,0
44,0.1,66.26595700002508,100,5,0
45,0.1,65.74998490000144,100,5,0
46,0.1,65.66919429998961,100,5,0
47,0.1,66.13742750001256,100,5,0
48,0.1,65.62805990001652,100,5,0
49,0.1,65.47401989999344,100,5,0
