round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.0999,105.4490286000073,100,0,0,327,234,233,0.51,0.003
1,0.1,102.92797830000927,100,0,0,324,231,227,0.515,0.007
2,0.1,102.47842470000614,100,0,0,328,253,248,0.553,0.007
3,0.1,103.8245167999994,100,0,0,331,236,235,0.547,0.006
4,0.1,103.10948780000035,100,68,1,333,256,252,0.552,0.006
5,0.1,89.63113120000344,100,68,1,120,155,99,0.58,0.008
6,0.1,88.24063970000134,100,76,3,124,153,98,0.601,0.009
7,0.1,86.18222660000902,100,86,4,91,144,79,0.616,0.01
8,0.1,84.83125770000333,100,86,4,56,129,45,0.622,0.011
9,0.1,84.26683900000353,100,87,5,53,131,43,0.63,0.013
10,0.1,84.79006039998785,100,89,6,51,135,39,0.632,0.013
11,0.1,84.13999749999493,100,89,6,44,131,40,0.638,0.014
12,0.1,85.0072199999995,100,92,7,44,135,36,0.64,0.014
13,0.1001,83.99100229999749,100,92,7,32,135,25,0.642,0.016
14,0.1036,84.77209779999976,100,92,7,31,132,22,0.642,0.017
15,0.125,85.66301509999903,100,93,7,29,126,25,0.644,0.017
16,0.1476,84.81090169999516,100,94,7,28,137,25,0.646,0.017
17,0.1736,85.28544740000507,100,94,7,24,131,22,0.647,0.017
18,0.2271,86.73434680000355,100,96,7,24,139,24,0.65,0.017
19,0.2795,85.2636468000128,100,96,7,16,123,15,0.651,0.018
20,0.3168,84.54341980000027,100,96,7,16,140,12,0.651,0.018
21,0.3612,85.44184159999713,100,97,8,16,130,16,0.652,0.018
22,0.4026,85.70561350000207,100,97,8,11,135,11,0.653,0.02
23,0.4296,85.40219219999562,100,97,8,12,140,9,0.653,0.02
24,0.4386,84.53738680000242,100,97,10,12,142,11,0.653,0.021
25,0.4485,84.21956349999527,100,97,10,12,154,9,0.653,0.021
26,0.4594,85.3715824999963,100,97,11,12,156,10,0.653,0.022
27,0.463,90.36858969999594,100,97,11,12,146,11,0.654,0.022
28,0.4773,84.83189119999588,100,97,11,12,151,6,0.654,0.022
29,0.5205,84.49654569999257,100,97,11,12,151,7,0.654,0.023
30,0.5655,84.07107240000914,100,97,11,12,169,8,0.653,0.024
31,0.571,84.06931299999997,100,97,11,12,145,9,0.653,0.024
32,0.5745,85.82814159999543,100,97,11,12,159,8,0.653,0.024
33,0.5849,84.15266310000152,100,98,11,12,143,8,0.653,0.025
34,0.5947,84.40401810000185,100,98,11,8,143,5,0.654,0.025
35,0.5946,84.70334070001263,100,98,11,8,143,4,0.653,0.025
36,0.611,84.54170200000226,100,98,11,8,144,4,0.653,0.025
37,0.6118,84.24434209999163,100,98,11,8,143,5,0.653,0.025
38,0.6147,83.60685260000173,100,98,11,8,148,8,0.654,0.025
39,0.6151,84.40421529999003,100,98,11,8,150,6,0.653,0.026
40,0.631,84.5801414999878,100,98,11,8,140,6,0.653,0.026
41,0.6246,83.85838890000014,100,98,12,8,144,5,0.653,0.026
42,0.6382,84.16299470000376,100,98,12,8,158,8,0.654,0.027
43,0.6261,83.38918410000042,100,98,12,8,152,7,0.654,0.027
44,0.6472,84.20753490000789,100,98,12,8,137,8,0.654,0.027
45,0.6377,83.7772518999991,100,98,12,8,150,7,0.654,0.028
46,0.6503,84.27542489999905,100,98,13,8,145,8,0.654,0.028
47,0.634,86.17640899999242,100,98,13,8,155,7,0.654,0.028
48,0.6565,85.04868720000377,100,98,13,8,146,8,0.655,0.028
49,0.6256,128.16034440000658,100,98,13,8,142,6,0.655,0.028
