dataset,attack,agg,f,c,acc_mean,acc_std,n,asr_mean,asr_std
cifar10,backdoor,hybrid_ov4,0.1,3,0.6134,0.0061,3,0.8811,0.0331
cifar10,backdoor,hybrid_ov4,0.2,3,0.6067,0.0028,3,0.9513,0.009
cifar10,backdoor,hybrid_ov4,0.3,3,0.6029,0.0034,3,0.97,0.0112
cifar10,backdoor,krum,0.1,3,0.5971,0.0064,3,0.6371,0.5104
cifar10,backdoor,krum,0.2,3,0.5893,0.0044,3,0.9477,0.0151
cifar10,backdoor,krum,0.3,3,0.5838,0.0115,3,0.9703,0.016
cifar10,backdoor,mean,0.1,3,0.6223,0.0036,3,0.8983,0.0148
cifar10,backdoor,mean,0.2,3,0.6148,0.0056,3,0.956,0.0071
cifar10,backdoor,mean,0.3,3,0.6125,0.0047,3,0.9695,0.0088
cifar10,backdoor,median,0.1,3,0.6122,0.0073,3,0.6694,0.1304
cifar10,backdoor,median,0.2,3,0.6063,0.0095,3,0.9479,0.0112
cifar10,backdoor,median,0.3,3,0.6035,0.01,3,0.9671,0.0088
cifar10,backdoor,trimmed,0.1,3,0.6176,0.0053,3,0.8575,0.0325
cifar10,backdoor,trimmed,0.2,3,0.6097,0.0079,3,0.9507,0.0102
cifar10,backdoor,trimmed,0.3,3,0.6064,0.0078,3,0.9674,0.0093
cifar10,labelflip,bulyan,0.1,3,0.5882,0.0063,3,,
cifar10,labelflip,bulyan,0.2,3,0.5702,0.0156,3,,
cifar10,labelflip,bulyan,0.3,3,0.5454,0.0417,3,,
cifar10,labelflip,fedgt,0.1,3,0.538,,1,,
cifar10,labelflip,fedgt,0.2,3,0.528,,1,,
cifar10,labelflip,fedgt,0.3,3,0.5165,,1,,
cifar10,labelflip,fltrust,0.1,3,0.5072,0.0358,3,,
cifar10,labelflip,fltrust,0.2,3,0.5011,0.0128,3,,
cifar10,labelflip,fltrust,0.3,3,0.504,0.0194,3,,
cifar10,labelflip,geomedian,0.1,3,0.6071,0.0049,3,,
cifar10,labelflip,geomedian,0.2,3,0.577,0.0118,3,,
cifar10,labelflip,geomedian,0.3,3,0.545,0.0223,3,,
cifar10,labelflip,hybrid_ov4,0.1,3,0.6055,0.0035,3,,
cifar10,labelflip,hybrid_ov4,0.2,3,0.5897,0.0035,3,,
cifar10,labelflip,hybrid_ov4,0.3,3,0.5645,0.0157,3,,
cifar10,labelflip,hybrid_tf_ov4,0.1,3,0.5942,0.0022,3,,
cifar10,labelflip,hybrid_tf_ov4,0.2,3,0.565,0.0031,3,,
