attack,aggregator,f,cluster_size,seed,final_acc,final_acc_std,rounds,final_asr,k_clusters,dirty_clusters,clean_frac_observed,clean_frac_theory
backdoor,krum,0.1,3,0,0.5904,0.0054,50,0.9386,10,3,0.7,0.729
backdoor,krum,0.1,3,1,0.6031,0.0058,50,0.0478,10,3,0.7,0.729
backdoor,krum,0.1,3,2,0.5979,0.0044,50,0.9251,10,3,0.7,0.729
backdoor,mean,0.1,3,0,0.6186,0.0037,50,0.9069,10,3,0.7,0.729
backdoor,mean,0.1,3,1,0.6225,0.0044,50,0.8812,10,3,0.7,0.729
backdoor,mean,0.1,3,2,0.6258,0.0047,50,0.9068,10,3,0.7,0.729
backdoor,median,0.1,3,0,0.6039,0.0044,50,0.7898,10,3,0.7,0.729
backdoor,median,0.1,3,1,0.6177,0.0044,50,0.531,10,3,0.7,0.729
backdoor,median,0.1,3,2,0.615,0.0041,50,0.6875,10,3,0.7,0.729
backdoor,reputation,0.1,3,0,0.5991,0.0164,50,0.9037,10,3,0.7,0.729
backdoor,reputation,0.1,3,1,0.6162,0.0074,50,0.8942,10,3,0.7,0.729
backdoor,reputation,0.1,3,2,0.6118,0.0141,50,0.7932,10,3,0.7,0.729
backdoor,trimmed,0.1,3,0,0.6115,0.0045,50,0.8826,10,3,0.7,0.729
backdoor,trimmed,0.1,3,1,0.6201,0.0052,50,0.8208,10,3,0.7,0.729
backdoor,trimmed,0.1,3,2,0.6212,0.0042,50,0.869,10,3,0.7,0.729
backdoor,krum,0.2,3,0,0.5856,0.0035,50,0.9403,10,5,0.5,0.512
backdoor,krum,0.2,3,1,0.5881,0.0045,50,0.9376,10,5,0.5,0.512
backdoor,krum,0.2,3,2,0.5942,0.005,50,0.9651,10,5,0.5,0.512
backdoor,mean,0.2,3,0,0.6115,0.0046,50,0.9561,10,5,0.5,0.512
backdoor,mean,0.2,3,1,0.6116,0.0055,50,0.9488,10,5,0.5,0.512
backdoor,mean,0.2,3,2,0.6213,0.0044,50,0.963,10,5,0.5,0.512
backdoor,median,0.2,3,0,0.5982,0.0047,50,0.9481,10,5,0.5,0.512
backdoor,median,0.2,3,1,0.6039,0.0049,50,0.9366,10,5,0.5,0.512
backdoor,median,0.2,3,2,0.6168,0.0043,50,0.959,10,5,0.5,0.512
backdoor,reputation,0.2,3,0,0.609,0.0065,50,0.9507,10,5,0.5,0.512
backdoor,reputation,0.2,3,1,0.6094,0.0064,50,0.9459,10,5,0.5,0.512
backdoor,reputation,0.2,3,2,0.6109,0.009,50,0.9653,10,5,0.5,0.512
backdoor,trimmed,0.2,3,0,0.6038,0.0037,50,0.9509,10,5,0.5,0.512
backdoor,trimmed,0.2,3,1,0.6066,0.0062,50,0.9405,10,5,0.5,0.512
backdoor,trimmed,0.2,3,2,0.6187,0.003,50,0.9608,10,5,0.5,0.512
backdoor,krum,0.3,3,0,0.5725,0.0054,50,0.9832,10,6,0.4,0.343
backdoor,krum,0.3,3,1,0.5955,0.0025,50,0.9523,10,7,0.3,0.343
backdoor,krum,0.3,3,2,0.5832,0.0035,50,0.9752,10,5,0.5,0.343
backdoor,mean,0.3,3,0,0.6073,0.0052,50,0.9766,10,6,0.4,0.343
backdoor,mean,0.3,3,1,0.6163,0.0047,50,0.9597,10,7,0.3,0.343
backdoor,mean,0.3,3,2,0.614,0.0038,50,0.9722,10,5,0.5,0.343
backdoor,median,0.3,3,0,0.5921,0.0054,50,0.9748,10,6,0.4,0.343
backdoor,median,0.3,3,1,0.6108,0.005,50,0.9575,10,7,0.3,0.343
backdoor,median,0.3,3,2,0.6074,0.0041,50,0.9691,10,5,0.5,0.343
backdoor,reputation,0.3,3,0,0.5979,0.01,50,0.9741,10,6,0.4,0.343
backdoor,reputation,0.3,3,1,0.6116,0.0055,50,0.9596,10,7,0.3,0.343
backdoor,reputation,0.3,3,2,0.5992,0.0094,50,0.9647,10,5,0.5,0.343
backdoor,trimmed,0.3,3,0,0.5975,0.0058,50,0.9748,10,6,0.4,0.343
backdoor,trimmed,0.3,3,1,0.612,0.0051,50,0.957,10,7,0.3,0.343
backdoor,trimmed,0.3,3,2,0.6095,0.0049,50,0.9704,10,5,0.5,0.343
backdoor_hybrid,ov4,0.1,3,0,0.6171,0.0047,50,0.905,10,3,0.7,0.729
backdoor_hybrid,ov4,0.1,3,1,0.6167,0.0054,50,0.8948,10,3,0.7,0.729
backdoor_hybrid,ov4,0.1,3,2,0.6064,0.0046,50,0.8433,10,3,0.7,0.729
backdoor_hybrid,ov4,0.2,3,0,0.6046,0.0047,50,0.9548,10,5,0.5,0.512
backdoor_hybrid,ov4,0.2,3,1,0.6099,0.0078,50,0.9411,10,5,0.5,0.512
backdoor_hybrid,ov4,0.2,3,2,0.6057,0.0102,50,0.9579,10,5,0.5,0.512
backdoor_hybrid,ov4,0.3,3,0,0.599,0.0077,50,0.9775,10,6,0.4,0.343
backdoor_hybrid,ov4,0.3,3,1,0.6052,0.0099,50,0.9571,10,7,0.3,0.343
backdoor_hybrid,ov4,0.3,3,2,0.6045,0.0072,50,0.9752,10,5,0.5,0.343
labelflip,bulyan,0.1,3,0,0.581,0.0076,50,,10,3,0.7,0.729
labelflip,bulyan,0.1,3,1,0.5923,0.0055,50,,10,3,0.7,0.729
labelflip,bulyan,0.1,3,2,0.5914,0.0028,50,,10,3,0.7,0.729
labelflip,fedgt,0.1,3,0,0.538,0.0085,30,,10,3,0.7,0.729
labelflip,fltrust,0.1,3,0,0.4659,0.0363,50,,10,3,0.7,0.729
labelflip,fltrust,0.1,3,1,0.5279,0.0322,50,,10,3,0.7,0.729
labelflip,fltrust,0.1,3,2,0.5278,0.0259,50,,10,3,0.7,0.729
labelflip,geomedian,0.1,3,0,0.6113,0.0061,50,,10,3,0.7,0.729
labelflip,geomedian,0.1,3,1,0.6018,0.0045,50,,10,3,0.7,0.729
labelflip,geomedian,0.1,3,2,0.6083,0.0047,50,,10,3,0.7,0.729
labelflip,krum,0.1,3,0,0.5994,0.0053,50,,10,3,0.7,0.729
labelflip,krum,0.1,3,1,0.5994,0.0062,50,,10,3,0.7,0.729
labelflip,krum,0.1,3,2,0.5957,0.0061,50,,10,3,0.7,0.729
labelflip,mean,0.1,3,0,0.6117,0.0059,50,,10,3,0.7,0.729
labelflip,mean,0.1,3,1,0.5965,0.0042,50,,10,3,0.7,0.729
labelflip,mean,0.1,3,2,0.6041,0.0062,50,,10,3,0.7,0.729
labelflip,median,0.1,3,0,0.5975,0.0052,50,,10,3,0.7,0.729
labelflip,median,0.1,3,1,0.5997,0.0049,50,,10,3,0.7,0.729
labelflip,median,0.1,3,2,0.6073,0.0045,50,,10,3,0.7,0.729
labelflip,reputation,0.1,3,0,0.5946,0.0139,50,,10,3,0.7,0.729
labelflip,reputation,0.1,3,1,0.613,0.0078,50,,10,3,0.7,0.729
labelflip,reputation,0.1,3,2,0.6093,0.0083,50,,10,3,0.7,0.729
labelflip,trimmed,0.1,3,0,0.5989,0.0059,50,,10,3,0.7,0.729
labelflip,trimmed,0.1,3,1,0.5983,0.0065,50,,10,3,0.7,0.729
labelflip,trimmed,0.1,3,2,0.6054,0.0051,50,,10,3,0.7,0.729
labelflip,bulyan,0.2,3,0,0.5606,0.0112,50,,10,5,0.5,0.512
labelflip,bulyan,0.2,3,1,0.5618,0.0112,50,,10,5,0.5,0.512
labelflip,bulyan,0.2,3,2,0.5882,0.0102,50,,10,5,0.5,0.512
labelflip,fedgt,0.2,3,0,0.528,0.005,30,,10,5,0.5,0.512
labelflip,fltrust,0.2,3,0,0.5159,0.0135,50,,10,5,0.5,0.512
labelflip,fltrust,0.2,3,1,0.4926,0.0242,50,,10,5,0.5,0.512
labelflip,fltrust,0.2,3,2,0.4949,0.0329,50,,10,5,0.5,0.512
labelflip,geomedian,0.2,3,0,0.5838,0.007,50,,10,5,0.5,0.512
labelflip,geomedian,0.2,3,1,0.5633,0.0057,50,,10,5,0.5,0.512
labelflip,geomedian,0.2,3,2,0.5838,0.0051,50,,10,5,0.5,0.512
labelflip,krum,0.2,3,0,0.5721,0.0085,50,,10,5,0.5,0.512
labelflip,krum,0.2,3,1,0.5713,0.0038,50,,10,5,0.5,0.512
labelflip,krum,0.2,3,2,0.5988,0.0043,50,,10,5,0.5,0.512
labelflip,mean,0.2,3,0,0.5812,0.0057,50,,10,5,0.5,0.512
labelflip,mean,0.2,3,1,0.5584,0.0039,50,,10,5,0.5,0.512
labelflip,mean,0.2,3,2,0.5743,0.0042,50,,10,5,0.5,0.512
labelflip,median,0.2,3,0,0.5713,0.0044,50,,10,5,0.5,0.512
labelflip,median,0.2,3,1,0.5731,0.0039,50,,10,5,0.5,0.512
labelflip,median,0.2,3,2,0.5734,0.005,50,,10,5,0.5,0.512
labelflip,reputation,0.2,3,0,0.5865,0.0196,50,,10,5,0.5,0.512
labelflip,reputation,0.2,3,1,0.5899,0.0035,50,,10,5,0.5,0.512
labelflip,reputation,0.2,3,2,0.582,0.0113,50,,10,5,0.5,0.512
labelflip,trimmed,0.2,3,0,0.5725,0.0064,50,,10,5,0.5,0.512
labelflip,trimmed,0.2,3,1,0.5691,0.0051,50,,10,5,0.5,0.512
labelflip,trimmed,0.2,3,2,0.5732,0.0042,50,,10,5,0.5,0.512
labelflip,bulyan,0.3,3,0,0.4973,0.0158,50,,10,6,0.4,0.343
labelflip,bulyan,0.3,3,1,0.5674,0.0107,50,,10,7,0.3,0.343
labelflip,bulyan,0.3,3,2,0.5715,0.0034,50,,10,5,0.5,0.343
labelflip,fedgt,0.3,3,0,0.5165,0.0092,30,,10,6,0.4,0.343
labelflip,fltrust,0.3,3,0,0.4886,0.0602,50,,10,6,0.4,0.343
labelflip,fltrust,0.3,3,1,0.4977,0.0375,50,,10,7,0.3,0.343
labelflip,fltrust,0.3,3,2,0.5259,0.0165,50,,10,5,0.5,0.343
labelflip,geomedian,0.3,3,0,0.5212,0.0052,50,,10,6,0.4,0.343
labelflip,geomedian,0.3,3,1,0.5654,0.0074,50,,10,7,0.3,0.343
labelflip,geomedian,0.3,3,2,0.5485,0.0055,50,,10,5,0.5,0.343
labelflip,krum,0.3,3,0,0.4898,0.0066,50,,10,6,0.4,0.343
labelflip,krum,0.3,3,1,0.5709,0.01,50,,10,7,0.3,0.343
labelflip,krum,0.3,3,2,0.5921,0.0067,50,,10,5,0.5,0.343
labelflip,mean,0.3,3,0,0.5225,0.005,50,,10,6,0.4,0.343
labelflip,mean,0.3,3,1,0.5524,0.0069,50,,10,7,0.3,0.343
labelflip,mean,0.3,3,2,0.519,0.0044,50,,10,5,0.5,0.343
labelflip,median,0.3,3,0,0.5089,0.0082,50,,10,6,0.4,0.343
labelflip,median,0.3,3,1,0.5549,0.0052,50,,10,7,0.3,0.343
labelflip,median,0.3,3,2,0.5439,0.0027,50,,10,5,0.5,0.343
labelflip,reputation,0.3,3,0,0.5589,0.0166,50,,10,6,0.4,0.343
labelflip,reputation,0.3,3,1,0.5767,0.0207,50,,10,7,0.3,0.343
labelflip,reputation,0.3,3,2,0.5611,0.0248,50,,10,5,0.5,0.343
labelflip,trimmed,0.3,3,0,0.5302,0.004,50,,10,6,0.4,0.343
labelflip,trimmed,0.3,3,1,0.5576,0.0065,50,,10,7,0.3,0.343
labelflip,trimmed,0.3,3,2,0.5396,0.0028,50,,10,5,0.5,0.343
labelflip_hybrid,ov4,0.1,3,0,0.6027,0.0077,50,,10,3,0.7,0.729
labelflip_hybrid,ov4,0.1,3,1,0.6043,0.0055,50,,10,3,0.7,0.729
labelflip_hybrid,ov4,0.1,3,2,0.6095,0.0021,50,,10,3,0.7,0.729
labelflip_hybrid,ov4,0.2,3,0,0.593,0.0123,50,,10,5,0.5,0.512
labelflip_hybrid,ov4,0.2,3,1,0.586,0.0077,50,,10,5,0.5,0.512
labelflip_hybrid,ov4,0.2,3,2,0.59,0.005,50,,10,5,0.5,0.512
labelflip_hybrid,ov4,0.3,3,0,0.5479,0.0168,50,,10,6,0.4,0.343
labelflip_hybrid,ov4,0.3,3,1,0.579,0.0227,50,,10,7,0.3,0.343
labelflip_hybrid,ov4,0.3,3,2,0.5667,0.0037,50,,10,5,0.5,0.343
labelflip_hybrid_tf,ov4,0.1,3,0,0.5925,0.0115,50,,10,3,0.7,0.729
labelflip_hybrid_tf,ov4,0.1,3,1,0.5934,0.0097,50,,10,3,0.7,0.729
labelflip_hybrid_tf,ov4,0.1,3,2,0.5967,0.0148,50,,10,3,0.7,0.729
labelflip_hybrid_tf,ov4,0.2,3,0,0.5686,0.0078,50,,10,5,0.5,0.512
labelflip_hybrid_tf,ov4,0.2,3,1,0.5629,0.0075,50,,10,5,0.5,0.512
labelflip_hybrid_tf,ov4,0.2,3,2,0.5634,0.0229,50,,10,5,0.5,0.512
labelflip_hybrid_tf,ov4,0.3,3,0,0.4772,0.064,50,,10,6,0.4,0.343
labelflip_hybrid_tf,ov4,0.3,3,1,0.5366,0.0395,50,,10,7,0.3,0.343
labelflip_hybrid_tf,ov4,0.3,3,2,0.4845,0.0513,50,,10,5,0.5,0.343
labelflip_reputation,ov4,0.1,3,0,0.5936,0.0147,50,,10,3,0.7,0.729
labelflip_reputation,ov4,0.1,3,1,0.6046,0.0075,50,,10,3,0.7,0.729
labelflip_reputation,ov4,0.1,3,2,0.612,0.0086,50,,10,3,0.7,0.729
labelflip_reputation,tf,0.1,3,0,0.5924,0.0119,50,,10,3,0.7,0.729
labelflip_reputation,tf,0.1,3,1,0.5937,0.0095,50,,10,3,0.7,0.729
labelflip_reputation,tf,0.1,3,2,0.5968,0.0142,50,,10,3,0.7,0.729
labelflip_reputation,ov4,0.2,3,0,0.5932,0.0124,50,,10,5,0.5,0.512
labelflip_reputation,ov4,0.2,3,1,0.5851,0.0071,50,,10,5,0.5,0.512
labelflip_reputation,ov4,0.2,3,2,0.5991,0.0098,50,,10,5,0.5,0.512
labelflip_reputation,tf,0.2,3,0,0.568,0.0078,50,,10,5,0.5,0.512
labelflip_reputation,tf,0.2,3,1,0.5614,0.0091,50,,10,5,0.5,0.512
labelflip_reputation,tf,0.2,3,2,0.5717,0.0074,50,,10,5,0.5,0.512
labelflip_reputation,ov4,0.3,3,0,0.5461,0.0164,50,,10,6,0.4,0.343
labelflip_reputation,ov4,0.3,3,1,0.5756,0.0216,50,,10,7,0.3,0.343
labelflip_reputation,ov4,0.3,3,2,0.57,0.0181,50,,10,5,0.5,0.343
labelflip_reputation,tf,0.3,3,0,0.5022,0.0927,50,,10,6,0.4,0.343
labelflip_reputation,tf,0.3,3,1,0.5391,0.0383,50,,10,7,0.3,0.343
labelflip_reputation,tf,0.3,3,2,0.4978,0.0318,50,,10,5,0.5,0.343
none,bulyan,0.0,3,0,0.5797,0.0041,50,,10,0,1.0,1.0
none,bulyan,0.0,3,1,0.6003,0.0059,50,,10,0,1.0,1.0
none,bulyan,0.0,3,2,0.5962,0.0047,50,,10,0,1.0,1.0
none,fedgt,0.0,3,0,0.6206,0.0054,50,,10,0,1.0,1.0
none,fedgt,0.0,3,1,0.6228,0.0043,50,,10,0,1.0,1.0
none,fedgt,0.0,3,2,0.6138,0.004,50,,10,0,1.0,1.0
none,fltrust,0.0,3,0,0.4902,0.0222,50,,10,0,1.0,1.0
none,fltrust,0.0,3,1,0.5341,0.0297,50,,10,0,1.0,1.0
none,fltrust,0.0,3,2,0.532,0.0286,50,,10,0,1.0,1.0
none,geomedian,0.0,3,0,0.6216,0.0062,50,,10,0,1.0,1.0
none,geomedian,0.0,3,1,0.6185,0.0047,50,,10,0,1.0,1.0
