round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1,21.481146200000694,9,0,0,6,2,0,0.0,0.0
1,0.1,21.76134319999983,9,0,0,7,2,2,0.0,0.0
2,0.1,22.519650599999295,9,0,0,7,5,5,0.0,0.0
3,0.1,23.42345699999987,9,0,0,5,5,5,0.0,0.0
4,0.1078,23.415030000000115,9,0,0,6,4,4,0.022,0.0
5,0.1,23.90582209999957,9,0,0,6,6,6,0.111,0.0
6,0.1004,24.229045799999767,9,0,0,7,4,3,0.159,0.0
7,0.1308,24.035232299999734,9,0,0,6,6,6,0.194,0.0
8,0.1608,24.233050699999694,9,0,0,7,7,6,0.222,0.016
9,0.1594,24.246468000000277,9,4,0,7,4,4,0.233,0.029
10,0.1712,22.154129499999726,9,4,0,4,4,3,0.251,0.03
11,0.1775,21.704961000000367,9,5,0,3,2,2,0.256,0.028
12,0.2067,20.806104100000084,9,5,0,4,4,4,0.263,0.026
13,0.2311,20.81001759999981,9,5,0,4,5,4,0.269,0.024
14,0.2348,20.73111330000029,9,5,0,4,4,4,0.281,0.025
15,0.2477,20.690733999999793,9,5,0,4,4,4,0.306,0.033
16,0.3027,21.040762300000097,9,5,0,3,3,3,0.329,0.036
17,0.292,20.982016199999634,9,5,0,4,5,4,0.348,0.037
18,0.3235,20.8881308,9,5,0,4,6,4,0.366,0.038
19,0.3209,21.068100500000583,9,5,0,4,6,4,0.381,0.043
20,0.3315,20.856451200000265,9,5,0,4,5,4,0.396,0.052
21,0.3961,21.105475899999874,9,5,0,3,4,3,0.409,0.058
22,0.3079,20.893287799999598,9,5,0,4,6,4,0.421,0.064
23,0.3375,20.864981400000033,9,5,0,3,5,3,0.431,0.069
24,0.3969,21.046683900000062,9,5,0,3,3,3,0.441,0.067
25,0.3599,20.987669500000266,9,5,0,2,4,2,0.451,0.064
26,0.4288,20.833579200000713,9,5,0,3,3,3,0.459,0.062
27,0.4024,21.224972399999388,9,5,0,3,6,3,0.467,0.06
28,0.3925,21.24625719999949,9,9,0,4,6,4,0.475,0.059
29,0.4583,18.96413240000038,9,9,0,0,2,0,0.475,0.059
30,0.4505,18.76702479999949,9,9,0,0,3,0,0.475,0.061
31,0.4512,18.89425089999986,9,9,0,0,3,0,0.475,0.061
32,0.4714,19.691812499999287,9,9,0,0,3,0,0.475,0.062
33,0.4895,19.421851400000378,9,9,0,0,0,0,0.475,0.06
34,0.4773,18.753268200000093,9,9,0,0,2,0,0.475,0.059
35,0.4708,18.726684500000374,9,9,0,0,3,0,0.475,0.057
36,0.5051,18.92325179999989,9,9,0,0,0,0,0.475,0.055
37,0.5142,18.579059499999858,9,9,0,0,0,0,0.475,0.054
38,0.5208,18.819273400000384,9,9,0,0,1,0,0.475,0.053
39,0.5221,18.96293720000085,9,9,0,0,2,0,0.475,0.051
40,0.5169,18.790028999999777,9,9,0,0,3,0,0.475,0.05
41,0.515,18.817088700000568,9,9,0,0,1,0,0.475,0.049
42,0.5164,18.93851519999953,9,9,0,0,1,0,0.475,0.048
43,0.539,18.683852899999692,9,9,0,0,1,0,0.475,0.048
44,0.5207,18.907715199999984,9,9,0,0,2,0,0.475,0.048
45,0.5506,19.042502699999204,9,9,0,0,2,0,0.475,0.048
46,0.5401,18.75060399999984,9,9,0,0,1,0,0.475,0.047
47,0.5443,18.998045899999852,9,9,0,0,2,0,0.475,0.047
48,0.5612,18.7031207,9,9,0,0,2,0,0.475,0.047
49,0.5567,18.880637999999635,9,9,0,0,1,0,0.475,0.046
