round,acc,t_round_s,n_malicious,agg_norm,honest_norm,norm_ratio,global_norm,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
0,0.1007,6.166542599999957,6,0.38913390040397644,0.8132503032684326,0.47849216758980234,8.243132591247559,0,0,19,5,0,0.0,0.0
1,0.1,5.7466847999967285,6,0.3072642385959625,0.7553503513336182,0.40678373691554964,8.249165534973145,0,0,21,3,0,0.0,0.0
2,0.1,5.715066400000069,6,0.2081238031387329,0.7590331435203552,0.274195935863177,8.254990577697754,0,0,19,10,10,0.056,0.0
3,0.1,5.5420888000007835,6,0.2606760859489441,0.7902741432189941,0.32985526375333746,8.265703201293945,0,0,23,8,6,0.042,0.0
4,0.1,5.71582049999779,6,0.31258878111839294,0.8089067935943604,0.3864336207752827,8.276328086853027,0,0,22,16,16,0.167,0.0
5,0.1,5.842913199998293,6,0.18575821816921234,0.8115102648735046,0.2289043357919418,8.27993392944336,0,0,20,13,13,0.222,0.0
6,0.1406,5.713655299998209,6,0.21256260573863983,0.8281388282775879,0.2566750869304608,8.284736633300781,0,0,18,13,11,0.262,0.0
7,0.1,5.639466399999947,6,0.2675550878047943,0.8553134799003601,0.31281523569108627,8.302871704101562,0,0,22,14,12,0.271,0.0
8,0.1103,5.68150980000064,6,0.28535622358322144,0.878709614276886,0.32474462432967555,8.309534072875977,0,0,17,20,16,0.333,0.0
9,0.1381,5.7399031999993895,6,0.2252352088689804,0.8698204159736633,0.2589444955909153,8.311503410339355,0,0,22,19,15,0.35,0.004
10,0.1534,5.68018149999989,6,0.20647196471691132,0.8651391863822937,0.23865751079927855,8.323331832885742,0,0,19,10,8,0.333,0.004
11,0.1694,5.610288899999432,6,0.18246451020240784,0.8765029907226562,0.20817328877790833,8.339153289794922,0,0,18,16,14,0.347,0.003
12,0.1197,5.726978099999542,6,0.27023079991340637,0.8868083953857422,0.30472287059919173,8.360801696777344,0,0,20,21,17,0.372,0.003
13,0.184,5.676840000000084,6,0.4315780997276306,0.9039939045906067,0.4774126214081943,8.368754386901855,0,0,22,23,16,0.381,0.012
14,0.2304,5.654036100000667,6,0.3538110554218292,0.9012355804443359,0.39258442864338516,8.394121170043945,0,0,20,24,17,0.411,0.017
