round,acc,t_round_s,n_malicious,agg_norm,honest_norm,norm_ratio,global_norm
0,0.1,5.085770400000911,6,0.34647950530052185,0.8163304328918457,0.4244353650679422,8.241147994995117
1,0.1,4.5281825000020035,6,0.2881419360637665,0.7578980326652527,0.38018562345448464,8.248147010803223
2,0.1,4.438138200002868,6,0.2718864381313324,0.7772309184074402,0.34981423370088327,8.261448860168457
3,0.1,4.4559652999996615,6,0.31745895743370056,0.8143613934516907,0.38982564741698156,8.294413566589355
4,0.1,4.60326029999851,6,0.3788362145423889,0.9572843909263611,0.39574051152739503,8.342972755432129
5,0.1,4.633852599999955,6,0.79686439037323,1.3490523099899292,0.5906845749955972,8.502175331115723
6,0.1,4.463020700000925,6,3.0112218856811523,7.306478023529053,0.4121304239859634,9.596719741821289
7,0.1,4.397311099997751,6,101633081344.0,127041347584.0,0.8000000257931773,101633081344.0
8,0.1,4.424429400001827,6,nan,nan,nan,nan
9,0.1,4.530777199997829,6,nan,nan,nan,nan
10,0.1,4.4842430999997305,6,nan,nan,nan,nan
11,0.1,4.446417600000132,6,nan,nan,nan,nan
12,0.1,4.398310700002185,6,nan,nan,nan,nan
13,0.1,4.424384900001314,6,nan,nan,nan,nan
14,0.1,4.598397099998692,6,nan,nan,nan,nan
15,0.1,4.489142099999299,6,nan,nan,nan,nan
16,0.1,4.517547100000229,6,nan,nan,nan,nan
17,0.1,4.403319900000497,6,nan,nan,nan,nan
18,0.1,4.4370662000001175,6,nan,nan,nan,nan
19,0.1,4.602640500001144,6,nan,nan,nan,nan
20,0.1,4.428286000002117,6,nan,nan,nan,nan
21,0.1,4.439650199998141,6,nan,nan,nan,nan
22,0.1,4.426612899998872,6,nan,nan,nan,nan
23,0.1,4.544264599997405,6,nan,nan,nan,nan
24,0.1,4.53865389999919,6,nan,nan,nan,nan
25,0.1,4.441595699998288,6,nan,nan,nan,nan
26,0.1,4.4588359000008495,6,nan,nan,nan,nan
27,0.1,4.425878100002592,6,nan,nan,nan,nan
28,0.1,4.587782000002335,6,nan,nan,nan,nan
29,0.1,4.500749300001189,6,nan,nan,nan,nan
30,0.1,4.571964599999774,6,nan,nan,nan,nan
31,0.1,4.397235599997657,6,nan,nan,nan,nan
32,0.1,4.452442800000426,6,nan,nan,nan,nan
33,0.1,4.6162378000008175,6,nan,nan,nan,nan
34,0.1,4.436160400000517,6,nan,nan,nan,nan
35,0.1,4.47369709999839,6,nan,nan,nan,nan
36,0.1,4.513925999999628,6,nan,nan,nan,nan
37,0.1,4.502852699999494,6,nan,nan,nan,nan
38,0.1,4.48253730000215,6,nan,nan,nan,nan
39,0.1,4.475860399998055,6,nan,nan,nan,nan
40,0.1,4.4931738000013866,6,nan,nan,nan,nan
41,0.1,4.482771599999978,6,nan,nan,nan,nan
42,0.1,4.471300799999881,6,nan,nan,nan,nan
43,0.1,4.567533800000092,6,nan,nan,nan,nan
44,0.1,4.457137599998532,6,nan,nan,nan,nan
45,0.1,4.472376300000178,6,nan,nan,nan,nan
46,0.1,4.480157099998905,6,nan,nan,nan,nan
47,0.1,4.423520000000281,6,nan,nan,nan,nan
48,0.1,4.485721199998807,6,nan,nan,nan,nan
49,0.1,4.447568100000353,6,nan,nan,nan,nan
