round,acc,t_round_s,n_malicious,agg_norm,honest_norm,norm_ratio,global_norm
0,0.1029,5.120481500001915,6,0.2669318616390228,0.8163266777992249,0.3269914715499162,8.249963760375977
1,0.1027,4.558680199999799,6,0.24463820457458496,0.8288524746894836,0.29515289155194324,8.262715339660645
2,0.1421,4.430817399999796,6,0.23733708262443542,0.8725091814994812,0.27201671645053804,8.280054092407227
3,0.1199,4.473103000000265,6,0.24004152417182922,0.9349784255027771,0.256734826841324,8.303470611572266
4,0.1499,4.6385613000020385,6,0.24991224706172943,1.0007599592208862,0.24972246816938165,8.329344749450684
5,0.1507,4.666538200002833,6,0.2640371322631836,1.0412975549697876,0.2535654972039615,8.358652114868164
6,0.1663,4.539017600000079,6,0.26235076785087585,1.0762518644332886,0.2437633573708319,8.390586853027344
7,0.1834,4.441089100000681,6,0.2568081319332123,1.070752501487732,0.2398389278347669,8.426010131835938
8,0.1928,4.517030899998645,6,0.24311454594135284,1.0801217555999756,0.22508068621051885,8.460309982299805
9,0.2084,4.585416899997654,6,0.23917753994464874,1.0576584339141846,0.2261387346569913,8.497740745544434
10,0.2242,4.683148800002527,6,0.2381075918674469,1.0676451921463013,0.22302127487576284,8.533459663391113
11,0.2339,4.4888594999974885,6,0.2346276193857193,1.0479203462600708,0.22389833370740744,8.574721336364746
12,0.2436,4.492263500000263,6,0.24233005940914154,1.0523451566696167,0.23027621486475938,8.61988639831543
13,0.2424,4.482098399999813,6,0.24830985069274902,1.076645851135254,0.230632803192361,8.665392875671387
14,0.2501,4.544117699999333,6,0.2508608102798462,1.0927587747573853,0.2295665027586188,8.711792945861816
15,0.2405,4.711651800000254,6,0.25445422530174255,1.1074750423431396,0.22976068586013568,8.761316299438477
16,0.2255,4.431470100000297,6,0.28067639470100403,1.1643002033233643,0.24106875005247339,8.814455032348633
17,0.2388,4.53039070000159,6,0.2867911756038666,1.260423183441162,0.22753562404404495,8.865464210510254
18,0.1637,4.459223199999542,6,0.35776951909065247,1.2571355104446411,0.28459105332575607,8.934377670288086
19,0.1126,4.55506129999776,6,0.4354884624481201,2.2160708904266357,0.19651377775386975,8.99946117401123
20,0.1435,4.677390100001503,6,0.6275932192802429,3.180257797241211,0.19734036021377366,9.083719253540039
21,0.1,4.457530299998325,6,0.9221892952919006,5.1118550300598145,0.18040208297556318,9.20269775390625
22,0.1002,4.453136199997971,6,1.9677401781082153,17.933788299560547,0.10972250509706492,9.423707008361816
23,0.1,4.473967099998845,6,1.5930966138839722,13.985575675964355,0.11390997773669567,9.725196838378906
24,0.1,4.5940388000017265,6,4.789003849029541,38.62361526489258,0.12399159985892275,11.682596206665039
25,0.1,4.556389500001387,6,nan,nan,nan,nan
26,0.1,4.487472499997239,6,nan,nan,nan,nan
27,0.1,4.452400099999068,6,nan,nan,nan,nan
28,0.1,4.493921899997076,6,nan,nan,nan,nan
29,0.1,4.591835900002479,6,nan,nan,nan,nan
30,0.1,4.6098141000002215,6,nan,nan,nan,nan
31,0.1,4.440615800001979,6,nan,nan,nan,nan
32,0.1,4.450952999999572,6,nan,nan,nan,nan
33,0.1,4.480732699998043,6,nan,nan,nan,nan
34,0.1,4.465588899998693,6,nan,nan,nan,nan
35,0.1,4.496431200001098,6,nan,nan,nan,nan
36,0.1,4.506325700000161,6,nan,nan,nan,nan
37,0.1,4.528448399996705,6,nan,nan,nan,nan
38,0.1,4.53068539999731,6,nan,nan,nan,nan
39,0.1,4.544656499998382,6,nan,nan,nan,nan
40,0.1,4.555711100001645,6,nan,nan,nan,nan
41,0.1,4.51596299999801,6,nan,nan,nan,nan
42,0.1,4.541898200001015,6,nan,nan,nan,nan
43,0.1,4.650707500000863,6,nan,nan,nan,nan
44,0.1,4.521102000002429,6,nan,nan,nan,nan
45,0.1,4.545078300001478,6,nan,nan,nan,nan
46,0.1,4.554356699998607,6,nan,nan,nan,nan
47,0.1,4.51848020000034,6,nan,nan,nan,nan
48,0.1,4.554440600000817,6,nan,nan,nan,nan
49,0.1,4.105206700001872,6,nan,nan,nan,nan
