round,acc,t_round_s,n_malicious,agg_norm,honest_norm,norm_ratio,global_norm
0,0.1166,5.1048007999997935,6,0.2542032301425934,0.8163197636604309,0.31140153829270234,8.246722221374512
1,0.1,4.556289399999514,6,0.22706054151058197,0.808671772480011,0.28078207900621943,8.256583213806152
2,0.1,4.45913169999767,6,0.2161322385072708,0.8391326069831848,0.2575662496113702,8.271170616149902
3,0.1,4.441733800002112,6,0.20555563271045685,0.890856921672821,0.23073922165241914,8.291141510009766
4,0.1,4.6262362000015855,6,0.20940004289150238,0.9714570641517639,0.21555254536580248,8.31490707397461
5,0.1179,4.662589600000501,6,0.25112384557724,1.1003798246383667,0.22821560333475793,8.348448753356934
6,0.135,4.4838114000012865,6,0.3782116770744324,1.4926561117172241,0.25338165576484944,8.408599853515625
7,0.1,4.421484899998177,6,0.6163251996040344,3.0546963214874268,0.20176316554567575,8.53454875946045
8,0.1,4.485182800002804,6,1.4057281017303467,10.95427417755127,0.12832690500034433,8.92707347869873
9,0.1,4.569928400000208,6,13.401244163513184,86.13772583007812,0.15557926604597738,18.190677642822266
10,0.1,4.613084100001288,6,nan,nan,nan,nan
11,0.1,4.4750492999992275,6,nan,nan,nan,nan
12,0.1,4.476771199999348,6,nan,nan,nan,nan
13,0.1,4.47508800000287,6,nan,nan,nan,nan
14,0.1,4.593251199999941,6,nan,nan,nan,nan
15,0.1,4.597318399999494,6,nan,nan,nan,nan
16,0.1,4.542212099997414,6,nan,nan,nan,nan
17,0.1,4.477389200001198,6,nan,nan,nan,nan
18,0.1,4.4800107999981265,6,nan,nan,nan,nan
19,0.1,4.573607100002846,6,nan,nan,nan,nan
20,0.1,4.5924087000021245,6,nan,nan,nan,nan
21,0.1,4.479091199998948,6,nan,nan,nan,nan
22,0.1,4.437688599999092,6,nan,nan,nan,nan
23,0.1,4.488159399999859,6,nan,nan,nan,nan
24,0.1,4.619072099998448,6,nan,nan,nan,nan
25,0.1,4.524408699999185,6,nan,nan,nan,nan
26,0.1,4.441626600000745,6,nan,nan,nan,nan
27,0.1,4.434112099999766,6,nan,nan,nan,nan
28,0.1,4.481088100001216,6,nan,nan,nan,nan
29,0.1,4.665807800000039,6,nan,nan,nan,nan
30,0.1,4.580885600000329,6,nan,nan,nan,nan
31,0.1,4.4441411000007065,6,nan,nan,nan,nan
32,0.1,4.458464299998013,6,nan,nan,nan,nan
33,0.1,4.506667199999356,6,nan,nan,nan,nan
34,0.1,4.558255799998733,6,nan,nan,nan,nan
35,0.1,4.57550590000028,6,nan,nan,nan,nan
36,0.1,4.566583399999217,6,nan,nan,nan,nan
37,0.1,4.526251700001012,6,nan,nan,nan,nan
38,0.1,4.577826100001403,6,nan,nan,nan,nan
39,0.1,4.5521618999991915,6,nan,nan,nan,nan
40,0.1,4.545582099999592,6,nan,nan,nan,nan
41,0.1,4.579400400001759,6,nan,nan,nan,nan
42,0.1,4.5883872999984305,6,nan,nan,nan,nan
43,0.1,4.611469400002534,6,nan,nan,nan,nan
44,0.1,4.530519699997967,6,nan,nan,nan,nan
45,0.1,4.545541499999672,6,nan,nan,nan,nan
46,0.1,4.563167299998895,6,nan,nan,nan,nan
47,0.1,4.547561200000928,6,nan,nan,nan,nan
48,0.1,4.531744300002174,6,nan,nan,nan,nan
49,0.1,4.125247099997068,6,nan,nan,nan,nan
